11986133
/m/02vkzpw
/m/02vkzpw
Fanny Parkes
2002
{"/m/03g3w": "History", "/m/014dsx": "Travel"}
1822 1
1846 1
18th 1
1thcentury 1
a 3
about 1
academic 1
across 1
act 1
aggression 1
all 2
an 2
and 6
appropriation 1
are 1
as 3
attacks 1
attempt 2
attitudes 1
back 1
been 1
behaviour 1
best 1
book 1
bridges 1
build 1
by 2
catharsis 1
challenged 1
colin 1
colonial 1
contact 1
critics 1
dalrymple 1
declines 1
define 1
did 1
divide 1
domination 1
down 1
early 1
edited 2
edition 1
edward 1
edwardian 1
english 1
even 2
familiar 1
fanny 3
felt 1
fit 1
from 1
genre 1
has 2
he 3
her 4
highlight 1
human 1
if 1
in 4
india 4
into 2
introduction 1
is 3
it 1
journals 1
laid 1
lover 1
made 1
many 1
much 1
of 13
on 2
onto 1
or 2
orientalist 1
out 1
paranoia 1
parkes 2
passionate 1
picturesque 1
pilgrim 1
pointed 1
preconceptions 1
problem 1
project 1
rather 1
respect 1
said 1
search 1
seen 1
simplistic 1
so 3
some 1
stereotypes 1
studies 1
template 1
temptation 1
than 1
that 1
the 13
then 1
this 1
though 1
thubron 1
time 1
to 6
travel 3
traveller 1
travels 1
understand 2
understanding 1
victorian 1
views 1
wanderings 1
was 2
we 1
which 3
who 1
with 2
woman 1
writes 1
writing 3
written 1
wrote 1
