23192663
/m/0660h95
/m/0660h95
Patrick Ness
2009
1017 1
a 21
about 2
accepting 1
across 1
activist 1
after 1
agree 1
alike 1
all 1
alongside 1
also 3
alternative 1
among 1
an 6
anaesthetic 1
and 25
anger 1
angered 1
answer 6
answers 2
apprentices 1
apprenticeship 1
are 5
army 3
arrive 2
arrives 1
arrogant 1
as 5
ask 2
assemble 1
at 6
attack 4
attacking 1
attacks 1
attempts 1
avenging 1
away 2
back 2
bag 1
bands 1
become 1
been 2
befriends 1
begins 2
bell 1
betrayal 1
betrayed 1
better 1
biggest 1
bomb 2
bombing 1
bombings 2
branding 1
but 5
by 8
called 1
captured 1
captures 2
carry 1
cathedral 2
city 2
come 1
coming 1
compassion 1
completely 1
concern 1
confiscated 1
consciousness 1
corinne 2
counterintelligence 1
coyle 4
crashed 1
creating 1
cure 1
darker 1
davy 9
day 1
desperation 1
despite 1
detonates 1
developments 1
die 1
disables 1
discovered 1
do 1
does 2
domestic 1
done 1
drops 1
during 1
duty 1
east 2
elsewhere 1
empty 1
ending 1
enlist 1
enough 1
ensuring 1
entire 1
except 1
explaining 1
explodes 1
extent 1
family 1
farm 1
father 1
feel 1
feels 1
females 1
finally 1
find 1
finds 1
fires 1
following 1
for 8
forced 1
forcing 1
form 1
formulates 1
friendship 1
from 5
go 1
gone 1
group 2
guards 1
gun 1
gunpoint 2
gunshot 1
happens 1
has 6
have 2
haven 3
he 7
headquarters 1
heads 1
healer 2
healing 3
health 1
help 4
her 4
here 1
hewitt 1
him 6
himself 2
his 15
holding 1
holds 1
hopes 3
horn 1
horse 1
house 3
how 1
however 1
hurt 1
if 1
in 12
inability 1
incapacitated 1
indeed 1
influence 1
information 1
intent 2
interrogated 1
interrogation 1
into 2
is 18
it 2
ivan 1
join 3
kill 1
killed 1
killing 1
kind 1
knife 1
know 1
knowing 2
known 1
lands 1
large 1
late 1
leaders 1
leads 1
learn 1
learns 1
leave 1
led 1
ledger 1
lee 6
letting 1
lies 1
life 1
like 1
likewise 1
literally 1
love 1
loyalty 1
maddy 1
madeleine 1
making 1
males 1
manipulates 1
marching 1
mayor 3
meanwhile 2
meet 2
meets 2
men 1
metal 1
military 1
mistake 1
mistress 5
morning 1
movement 1
must 1
name 1
necessary 1
never 1
new 10
next 2
no 2
noise 3
not 2
notices 1
novel 1
now 1
of 19
off 2
older 1
on 7
one 3
only 1
orders 2
other 1
others 1
otherwise 1
out 2
overcome 1
own 2
pain 1
people 1
person 1
personality 1
personnel 1
physically 1
pills 1
plan 1
planning 1
point 1
political 1
practices 1
prentiss 14
prentisstown 8
president 20
presidents 1
previous 1
prison 1
procession 1
promotes 1
psychologically 1
pulse 1
quick 1
quickly 1
realises 2
reconvened 1
recovered 1
recovering 1
recovers 1
recruit 1
redeem 1
release 1
releases 1
renowned 1
requires 1
rescue 2
residents 1
resistance 1
rest 2
returns 1
revenge 1
room 2
rule 1
safety 1
saves 1
scorns 1
scout 2
screams 1
second 1
selfarming 1
sends 1
sensing 1
separates 1
series 1
session 1
set 1
sets 1
settlers 1
several 1
share 1
she 4
ship 2
shocked 1
shockingly 1
sides 1
simply 1
since 1
smitten 1
so 2
sole 1
something 1
son 2
sooner 1
soundproof 1
sounds 1
spackle 8
still 2
stop 1
such 1
surprised 1
surrendering 1
take 1
taken 1
takes 1
teenager 1
tell 1
tells 3
than 1
that 15
the 59
them 2
then 1
there 1
these 1
they 2
this 3
thoughts 1
threatening 1
throw 1
ties 2
time 1
to 36
todd 25
todds 2
told 1
too 1
torture 1
tortured 2
torturing 1
towards 1
tower 1
town 1
trying 1
turns 1
unable 1
uncivilised 1
undergo 1
unethical 1
ungrateful 1
unhappy 1
unit 2
up 3
urged 1
urges 1
use 1
uses 1
viola 21
violas 2
wakes 2
wants 3
war 1
warn 1
warning 1
was 1
watch 1
watching 1
way 1
weapon 1
welcome 1
welfare 1
when 1
where 3
which 1
while 2
who 5
will 3
wishes 1
with 15
without 1
women 2
work 1
world 1
wound 1
wyatt 1
