562222
/m/02q83r
/m/02q83r
Madeleine L'Engle
1962
10yearold 1
1830 1
a 27
abilities 2
able 1
about 1
absent 1
accompanied 1
act 1
after 2
afternoon 1
against 1
all 4
allowing 1
allusion 1
almost 1
already 1
also 1
although 2
always 1
an 5
and 30
angelic 1
appearance 1
appears 2
are 6
arms 1
arrive 2
arriving 1
article 1
artists 1
as 9
at 4
athletic 1
attack 1
attic 1
aunt 1
away 1
back 1
ball 1
be 5
beast 1
beasts 1
beautiful 1
because 2
been 1
before 1
begins 1
behave 1
behind 1
being 3
beings 3
between 1
bible 1
big 1
black 4
book 1
both 1
brain 1
bread 1
brother 1
brothers 1
budding 1
building 1
bulwerlytton 1
but 3
by 10
call 1
called 1
calvin 7
camazotz 3
campus 1
can 1
capable 1
care 1
cast 1
casually 1
causes 1
centaurlike 1
central 3
charge 1
charles 12
children 3
choosing 1
claims 1
classmates 1
clifford 1
close 1
cloud 1
companion 1
concept 1
confound 2
considers 1
consistently 1
control 2
controlled 1
controlling 1
convention 1
conversation 1
course 1
covered 1
crystal 1
cured 1
dark 3
darkness 2
declares 1
deliberately 1
dennys 1
descends 1
described 1
develops 1
disappearance 1
discover 1
discovered 1
discovers 1
disembodied 1
disguised 1
does 3
dominated 1
dr 2
drinking 1
during 1
each 1
earth 2
eating 1
eccentric 1
edward 1
elsewhere 1
emotionally 1
encounter 2
entirely 1
equally 1
escape 1
evening 1
evil 2
experience 1
explained 1
exploded 1
eyes 1
fabric 1
faint 1
family 2
father 7
fifthdimensional 1
fight 1
fighting 1
figures 1
filled 1
find 4
first 1
five 1
focuses 1
folding 1
following 1
foolish 1
for 1
former 1
four 1
free 1
friends 1
from 7
frozen 1
gentle 1
george 1
gifts 1
give 1
gives 1
go 2
god 1
great 2
group 1
happy 1
has 2
haunted 1
have 3
he 4
headquarters 1
held 2
help 1
her 16
highschool 1
him 1
himself 3
his 1
home 1
house 1
housed 1
how 1
humans 1
hypnotic 1
immature 1
in 10
includes 1
influence 3
inhabitant 1
inhabitants 3
intelligence 1
interest 1
into 1
is 22
it 14
its 1
ixchel 1
jam 1
joined 1
joyous 1
junior 1
kills 1
kind 1
know 2
knows 2
large 2
left 1
light 1
line 1
live 1
looks 1
love 5
man 3
materialize 1
means 1
mechanistic 1
medium 2
meg 21
member 1
mentions 1
milk 1
mind 3
minds 2
misfit 1
mission 1
morning 1
mother 3
mrs 22
murry 7
murrys 2
mysterious 1
mysteriously 1
name 1
names 1
near 1
nearly 2
neighbor 1
neighboring 1
new 1
next 1
nicknames 1
night 1
no 1
not 4
nothing 1
novel 3
of 30
okeefe 2
old 1
on 4
one 3
opening 1
order 1
out 3
over 2
paralysis 1
paralyzed 1
partially 1
passage 1
paul 1
period 2
phenomenon 1
philosophers 1
place 2
planet 8
plot 1
possible 1
powerful 1
prisoner 1
promises 1
protagonist 1
protect 1
prove 1
proximity 1
quotes 1
realizes 1
red 1
redeyed 1
refers 1
reflect 1
religious 1
remainder 1
rescue 1
rescuing 1
reunited 1
reveal 1
revealed 1
room 1
sandy 1
save 1
schoolmate 1
scientific 1
scientist 2
see 3
seem 1
selfsacrifice 1
she 6
sightless 1
similar 1
single 1
sitting 1
sleep 1
space 1
spell 1
star 1
state 1
still 2
stop 1
stormy 1
strange 1
strong 1
student 1
succumb 1
such 1
summary 1
supergenius 1
supernatural 1
surrounds 1
table 1
taken 2
takeover 1
takes 2
teachers 1
telepathic 3
tells 1
tentacles 1
term 1
tesseract 2
tessering 1
tessers 2
that 10
the 72
their 10
them 3
then 3
there 5
they 11
thing 7
things 1
third 1
this 2
threatened 1
three 1
through 2
thunderstorm 1
time 2
title 1
titles 1
to 32
town 1
transport 1
trapped 1
travel 1
trio 1
troublesome 1
turn 1
turns 1
twin 1
twins 1
unable 1
under 6
universe 2
upon 1
uriel 1
utopian 1
visit 2
visited 1
w 1
wallace 12
was 2
way 1
weak 1
well 1
whatsit 10
when 2
where 4
whereabouts 1
which 10
who 14
whom 1
will 1
wise 2
with 9
woman 1
words 1
working 1
world 2
would 1
written 1
ws 1
yearold 1
