5874649
/m/0466pg0
/m/0466pg0
Piers Anthony
1990-01
a 15
able 1
access 1
after 1
age 1
agree 1
all 3
allows 1
amazement 1
an 2
and 15
approve 1
are 1
armies 1
as 4
at 1
attempt 1
baby 3
battlefield 1
be 7
became 1
because 2
become 4
becomes 1
been 2
begins 1
below 1
best 1
between 1
birth 1
but 2
by 3
campaign 2
can 1
candidate 1
care 1
cause 1
child 2
choice 1
choices 1
chosen 1
classify 1
comes 1
committed 1
complete 1
completely 1
conclude 2
condemn 1
conflict 1
consent 1
considered 1
content 1
daughter 1
day 1
declare 2
defect 1
definitions 1
denied 1
derelict 1
despite 1
destined 1
died 1
discover 1
discovery 1
doing 1
drugaddicted 1
duty 1
each 4
effectively 1
efforts 1
eventual 1
eventually 1
evil 6
exactly 1
exception 1
fall 1
father 1
final 1
find 1
flawed 1
for 3
fought 1
fourteenyearold 1
from 3
futile 1
gaea 2
gaining 1
gawain 3
ghost 3
girls 1
god 5
good 7
great 1
greatness 1
had 4
half 1
halls 1
happens 1
has 3
have 1
heaven 2
hell 1
help 3
her 1
herself 1
him 1
himselfand 1
his 2
however 1
ii 2
immediately 1
impeach 1
in 11
incarnation 8
incarnations 9
including 1
inflicted 1
influential 1
is 4
item 2
items 2
jolie 1
judge 2
kaftan 1
keep 1
legal 1
legislature 1
life 1
longer 1
love 1
lover 1
luna 2
made 1
make 1
male 1
meet 1
meets 1
mortal 2
must 3
mysterious 1
named 1
needs 1
new 2
night 2
no 1
nominates 2
nominee 1
none 1
not 1
novel 1
now 2
nox 3
obsessed 1
obtaining 1
of 32
office 1
older 1
on 1
one 2
orb 1
order 1
orlene 7
other 8
out 1
outside 1
own 1
place 1
political 1
position 1
possible 1
prevented 1
process 1
promises 1
promote 1
prostitute 1
protection 1
replaced 1
replacement 1
reporting 1
request 1
restore 1
result 2
resurrect 1
return 1
same 1
satan 4
selected 1
senator 1
series 1
set 2
seven 1
seventh 1
severe 1
sex 1
she 3
so 2
soul 2
souls 1
specific 1
succeed 1
succeeds 1
suggestions 1
suicide 1
take 1
that 6
the 46
their 3
therefore 1
they 4
this 1
three 3
thus 1
to 19
too 1
triumph 1
turn 1
unanimous 1
unanimously 1
under 1
unknowingly 1
unresponsive 1
up 1
used 1
vacant 1
value 1
vita 3
vitatry 1
vote 1
votes 1
way 1
were 1
who 3
whose 1
why 1
will 1
willing 1
with 5
women 2
womenthe 1
words 1
world 1
would 2
