9341936
/m/02855jb
/m/02855jb
Brian Caswell
1992
{"/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
150 1
a 4
able 1
above 1
all 2
allow 1
and 10
are 3
around 2
as 5
at 2
babies 8
born 1
both 1
butterflies 1
by 1
cage 1
caged 1
call 1
called 1
can 1
chris 1
communicate 1
company 1
compassionate 1
condition 1
constant 1
contacted 1
contains 1
do 1
dollars 1
ends 1
erik 3
escape 1
exploitation 1
facility 2
fact 1
farm 1
first 2
five 1
for 2
freely 1
future 1
gordon 1
greg 1
gretel 1
group 3
groups 1
head 2
help 3
hospital 1
however 1
ian 1
in 2
inc 1
into 2
investigate 1
involving 1
iqs 1
is 2
john 1
katie 1
keep 2
known 2
larsen 3
learn 1
lesley 1
live 1
married 1
members 1
merely 1
mikki 1
million 1
move 1
myriam 1
mystery 1
need 1
newly 1
not 1
nothing 1
of 6
or 1
orderly 1
people 1
pep 1
prisoners 1
provide 1
rachael 1
real 1
reason 1
refers 1
research 3
researcher 3
researchers 1
ricardo 1
same 2
set 1
seven 1
several 1
since 1
six 1
smokescreen 1
so 1
solve 1
staff 1
stop 1
story 2
subjects 1
supervision 1
susan 3
tank 7
teenagers 2
telepathically 1
that 1
the 34
them 2
themselves 1
these 1
they 5
think 7
this 2
three 1
time 1
title 1
to 4
together 1
trick 1
turned 1
two 1
under 1
well 1
were 1
when 1
who 1
will 1
with 3
workers 1
worth 1
yearolds 1
years 1
young 1
