13497916
/m/03c796l
/m/03c796l
Lynn Flewelling
1996-08-01
a 19
ability 1
able 1
after 1
against 1
alec 10
allowing 1
almost 1
along 1
an 2
and 21
antiaurenfaie 1
apprentice 2
as 4
assist 1
assume 1
aurenen 2
aurenfaie 2
be 1
become 1
becomes 2
been 1
behind 1
beka 1
between 2
birds 1
bodies 1
break 1
breaks 1
briefly 1
brother 1
but 3
by 1
capital 1
carry 1
cat 1
cause 1
cavish 1
cell 1
charge 1
citizens 1
city 1
clear 1
come 1
consort 2
corruth 2
covert 1
curse 1
dark 2
death 1
decomposed 1
descendant 1
designs 1
disappearance 1
discovering 1
discovers 1
discovery 1
disk 2
display 1
distant 2
does 1
duke 1
elite 1
empty 2
ends 2
ensuring 1
entirely 1
entity 1
escape 2
eventually 1
evil 1
exotic 2
experiences 1
experiencing 1
falls 1
false 1
father 1
fight 1
finally 1
for 4
forced 1
foreboding 1
foreshadowing 1
friend 2
from 3
god 3
group 2
guard 1
guise 1
guises 1
had 1
has 3
he 4
head 2
heals 1
her 1
him 2
himself 1
his 9
homeland 1
horse 1
how 1
hunt 1
hunter 1
idrilain 3
ill 1
illness 1
imbued 1
in 6
influence 1
inhabiting 1
into 3
is 11
it 2
jail 1
jobs 1
kassarie 5
kerry 1
killed 1
knowledge 1
known 3
lady 1
late 1
leads 1
learns 1
lerans 3
letters 1
life 1
like 1
limited 1
longlived 1
lord 2
lover 1
magic 2
manages 1
mardus 1
meets 1
member 1
mentor 1
mission 1
more 1
motivated 1
mysterious 1
navigate 1
noble 1
nobles 2
not 1
novel 1
nysander 6
object 1
obtain 1
odd 1
of 27
on 4
once 1
order 1
ordinary 1
originates 1
orphaned 1
out 3
outside 1
overthrow 1
own 1
peoples 1
perpetrators 1
place 1
plot 1
possession 1
power 1
powerful 1
preserved 1
prisoner 1
prophecy 1
queen 3
queenship 1
race 1
realm 1
reassumes 1
recently 1
recovered 1
relations 1
report 1
resources 1
reveals 1
rhiminee 5
role 1
rustic 1
save 1
scandalridden 1
seduce 1
seemingly 1
seregil 16
servant 1
set 1
sharing 1
she 1
situations 1
skala 3
skalans 1
skeleton 1
so 1
something 1
south 2
spies 1
spy 2
spying 2
state 1
strained 1
stronghold 2
successful 1
supporter 1
supposedly 1
switches 1
taken 1
takes 2
teaching 1
testing 1
that 3
the 32
their 4
them 1
thero 1
they 1
thief 1
thieving 1
throne 1
thrown 1
tight 1
times 1
to 17
together 1
too 1
towards 1
transform 1
treasonous 1
trick 1
trickery 1
trophy 1
two 1
unconscious 1
under 3
understand 1
underway 1
up 2
various 1
vision 1
visions 1
watchers 1
way 3
were 1
when 1
where 1
which 4
who 4
will 1
wishes 1
with 4
wizard 1
wooden 1
world 1
writing 1
young 2
youthful 1
