8968220
/m/027rm9d
/m/027rm9d
S. M. Stirling
2002
{"/m/014dfn": "Speculative fiction"}
1st 1
a 1
about 2
abraham 1
after 2
again 1
america 1
an 2
and 5
army 1
arrested 1
as 1
before 1
being 1
book 2
breakdown 1
by 3
captors 1
capture 1
captured 1
cavalry 1
claimed 1
covers 1
describes 1
divided 1
during 1
england 1
englishman 1
escaping 1
fighting 1
final 1
finding 1
first 1
four 1
have 1
he 2
his 6
how 1
in 5
into 1
is 5
it 1
officer 1
police 1
posttraumatic 1
second 1
section 1
sections 1
served 1
spent 1
stress 1
suffered 2
that 1
the 13
third 1
time 4
to 1
tom 1
treatment 1
unit 2
us 1
vietcong 1
vietnam 2
war 3
was 1
