2102417
/m/06m8nw
/m/06m8nw
Timothy Mo
1991
{"/m/02xlf": "Fiction"}
25 1
a 1
and 6
annexed 1
any 1
are 1
as 1
based 1
book 1
but 1
by 3
case 1
changed 1
chapter 1
colony 1
country 1
danu 2
declared 2
description 1
east 3
fiftyeighth 1
flag 3
for 1
foreigner 1
giant 1
green 1
has 1
in 2
indonesia 2
invaded 1
is 6
its 3
language 1
like 1
malae 1
malai 3
mo 1
named 1
national 1
neighbour 1
not 1
novel 1
occupied 1
occupying 1
of 3
on 1
over 1
part 1
people 1
portuguese 1
province 2
raised 1
red 2
referred 1
similar 1
tetum 1
the 8
their 2
three 1
throughout 1
timor 3
to 3
too 1
twentyseventh 1
which 2
white 3
word 1
