23198300
/m/065yzpf
/m/065yzpf
Ted Dekker
2009
{"/m/03mfnf": "Young adult literature"}
a 2
again 1
all 1
an 1
and 4
are 2
as 1
be 2
before 1
books 3
by 1
changed 1
chaos 1
claimed 1
completely 2
completion 1
continued 1
darsal 1
difference 1
each 2
earth 1
elyon 3
enemies 1
first 2
followed 1
four 2
from 1
had 1
has 1
have 2
having 1
healing 1
heals 1
history 1
home 1
importantly 1
in 1
incomplete 1
individual 1
is 2
johnis 1
leaving 1
left 1
longer 1
lose 1
lost 1
lunatic 3
main 1
make 1
more 1
much 1
no 1
of 5
off 1
one 2
only 1
other 2
overrun 1
own 1
picks 1
returned 2
series 1
set 1
silvie 1
story 4
that 3
the 8
their 3
them 1
they 1
through 1
to 4
up 1
water 1
where 1
whole 1
without 1
world 1
would 1
