12446237
/m/02w683w
/m/02w683w
Booth Tarkington

{"/m/0dwly": "Children's literature", "/m/01z4y": "Comedy", "/m/05hgj": "Novel"}
a 10
about 1
acquires 2
across 1
adequately 1
adult 1
affections 1
agency 1
alien 1
alley 1
an 2
and 11
appropriate 1
arc 2
are 1
as 4
asafetida 1
assistants 1
at 1
b 2
badge 1
bag 1
bandit 1
be 1
become 1
begins 2
being 1
best 1
book 2
books 1
boys 4
brings 1
brother 1
bulk 1
but 1
by 4
chapter 1
childish 1
childrens 1
collision 1
concerns 1
cooks 1
copes 1
dade 3
decides 1
desperate 1
detective 4
discards 1
dissolves 1
distressed 1
does 1
dog 1
duke 1
dull 1
each 1
efforts 2
embarrassing 1
empty 1
enlists 1
epic 1
evenings 1
experienced 1
exploits 1
exposure 1
eyes 1
fantasy 3
fatal 1
finally 1
for 1
force 1
form 1
friend 1
from 1
further 1
futile 1
future 1
gang 1
george 2
girlfriend 1
hamilton 1
harassment 1
has 1
he 4
herbert 1
herman 1
heroes 1
hilarious 1
him 1
himself 1
his 11
horse 1
horses 1
house 1
humiliation 1
imitating 1
immerses 1
in 5
increasingly 1
into 1
is 3
it 2
jashber 5
jocularly 1
jones 1
lateteens 1
live 1
lovely 1
manners 1
margaret 1
margarets 1
marjorie 1
more 1
mouth 1
movie 1
mr 3
name 1
needing 1
negro 1
nephew 1
new 1
notted 1
novelistic 1
now 2
occupations 1
of 14
office 1
officiallooking 1
older 1
one 1
other 1
otherwise 1
out 1
overhears 1
paints 1
parents 2
penning 1
penrod 9
penrods 5
persona 1
place 1
polished 1
practice 1
preceding 1
pretending 1
prove 1
proves 1
punishment 1
pup 2
rampage 1
rather 1
reality 1
really 1
referring 1
rest 1
return 1
rival 1
robert 1
sam 2
same 2
sams 1
school 1
scoundrel 1
separate 1
shadow 1
shadows 1
side 1
sign 1
similar 1
sister 1
smelly 1
squabble 1
squints 1
stable 1
standing 1
starring 1
steal 1
story 3
style 1
suitor 1
support 1
supported 1
takes 1
tales 1
talks 1
tall 1
teacher 1
telling 1
than 2
that 1
the 26
their 2
themselves 1
thief 1
this 3
through 1
time 1
to 11
two 1
verman 1
wear 1
when 3
who 1
williams 1
with 2
world 3
written 1
