5850863
/m/0f8zrv
/m/0f8zrv
Liang Yusheng
1956
a 16
accused 2
admit 1
admitting 1
after 3
against 2
ago 1
alias 1
alive 1
ally 1
also 1
an 1
and 33
antigovernment 1
appear 1
appearance 2
are 1
as 5
assassinate 1
assassinating 1
at 1
attempt 1
attempting 1
attempts 1
avenge 1
avenges 1
back 1
be 1
bears 1
become 1
becomes 1
before 2
befriend 1
behind 1
beijing 1
being 1
betrayal 1
betraying 1
bore 1
bravely 1
break 1
brings 1
brink 1
but 4
by 4
captured 2
captures 1
causes 1
changed 1
chaos 1
chivalrous 1
chu 4
close 1
commits 2
companion 1
comrades 1
continuation 1
crush 2
danger 1
daughter 8
death 2
deeds 1
defeated 1
descendant 1
despair 1
dies 1
difficulty 1
discover 1
dodo 7
does 1
during 1
dynasty 1
early 1
earth 1
eighteen 1
emperor 2
encounter 1
ensuing 1
entrusts 1
escape 2
even 2
eventually 1
experiences 1
fails 1
fall 1
falls 1
father 3
fight 2
find 1
flying 1
forced 1
form 1
former 1
formidable 1
from 3
fu 3
go 1
goes 1
gui 4
hamaya 2
han 1
hands 1
has 5
he 9
heartbroken 1
heaven 4
helping 1
helps 1
henchmen 1
her 6
heroes 1
heroic 1
him 3
himself 1
his 8
huazhao 3
huiming 2
illness 1
imprisoned 1
imprisons 1
in 11
indeed 2
infant 1
interrupted 1
into 1
is 10
jianghu 1
justice 1
kangxi 1
kill 1
labyrinth 2
later 4
leave 1
legacy 1
letter 2
li 2
liang 1
life 1
ling 12
liu 7
love 3
loves 1
manchu 1
mao 5
marry 1
mastered 1
meantime 1
meanwhile 1
meet 1
meets 1
members 1
mental 1
ming 1
minghui 3
mistakenly 1
monk 1
mortally 1
mount 5
much 1
mulang 6
murders 1
nalan 7
new 2
nick 1
night 1
notices 1
of 12
old 1
on 8
oppressed 1
other 1
part 1
plans 1
pleads 1
poor 1
prince 7
prologue 1
qing 2
qingzhu 3
qiongyao 1
qixia 1
reading 1
rebels 1
recognises 1
recover 1
red 1
refuses 1
reigning 1
rescue 3
resemblance 1
residence 1
returns 1
reverend 2
rival 1
rongruo 1
sacrifices 1
safeguard 1
saiwai 1
sash 1
save 2
scholar 1
secret 1
secretly 1
seizes 1
seizure 1
senior 1
series 1
serves 1
set 1
seven 1
she 5
shows 1
shunzhi 2
siyong 1
society 1
soldiers 1
some 2
son 1
southern 1
spare 1
spends 1
still 2
story 1
suddenly 1
suicide 3
swears 1
swordplay 1
swords 1
swordsman 1
tables 1
teacher 1
that 4
the 21
their 2
they 4
though 2
throne 1
tibet 1
time 1
to 21
training 1
travel 1
treacherous 1
turns 1
tutelage 1
unable 1
under 2
underground 1
unintentionally 1
untimely 1
up 1
upholding 1
upon 1
wanlian 4
was 1
wedding 1
weifeng 7
well 1
who 3
with 3
wounded 1
writes 1
wrongly 1
wu 1
wutai 2
yang 7
years 2
yilan 10
youth 1
yufang 5
yuncong 2
yunnan 1
zhang 4
zhaonan 3
zhibang 1
zhongming 3
zhu 10
zhuan 1
zicheng 1
