26008169
/m/0b6g_4d
/m/0b6g_4d
John G. Hemry
2010-04-27
{"/m/01smf2": "Military science fiction"}
1 2
2 1
3 1
a 12
abdicates 1
aboard 1
about 1
accepts 1
actually 1
admiral 2
admiralty 1
after 6
afterward 1
aggressively 1
alien 5
aliens 9
alliance 7
allow 2
ambush 1
an 3
and 11
another 1
apparently 1
are 1
area 1
armada 1
arrested 1
arrives 1
arriving 1
as 7
assumed 1
attack 1
awards 1
back 1
be 1
because 1
been 2
before 2
began 1
begun 1
billion 1
black 2
booked 1
bordering 1
briefs 1
brought 1
by 3
capt 1
captain 1
captured 1
catching 1
cease 2
century 1
ceo 1
charged 1
citing 1
citizens 1
civilian 1
claims 1
combat 1
commanding 1
computer 2
condemn 1
confirms 1
conquering 1
contact 1
control 2
conveniently 1
council 1
death 1
deposed 1
desjani 3
despite 1
destroy 1
destroying 1
destruction 2
devices 1
dictator 1
diplomacy 2
drawn 1
dubbed 1
effectively 1
elects 2
encountered 1
encroach 1
engaging 1
enigma 2
entire 1
established 1
evacuation 1
every 3
evidence 1
executive 1
exist 1
existence 2
explore 1
extensive 1
faced 1
fact 1
failure 1
fighting 1
finally 1
finding 1
finish 1
fire 2
fleeing 1
fleet 8
flotilla 1
for 2
force 1
form 1
gate 2
geary 8
had 1
half 1
has 1
have 2
having 1
he 4
her 2
hero 1
himself 1
his 3
home 2
homeworld 3
honeymoon 1
human 1
hypernet 2
if 1
immediately 1
implied 1
important 1
in 6
including 1
instead 1
intervene 1
into 2
is 8
issued 1
it 3
jack 3
journey 2
killing 1
known 1
large 1
leave 1
leaving 1
location 1
manipulation 1
married 1
month 1
near 1
nearly 3
necessary 1
no 1
not 1
occupied 1
of 15
on 3
only 1
option 1
or 1
orders 1
outnumbering 1
outnumbers 1
plan 1
planning 2
point 1
population 1
portion 1
possible 2
probable 1
promoted 1
proposes 1
quickly 1
race 5
races 1
rather 1
realizing 2
relationship 1
remain 1
reserve 1
resources 1
responsible 1
results 1
returned 1
returning 3
scrub 1
scuttle 1
senate 3
ship 1
ships 1
single 1
sixty 1
space 3
strategic 1
strongly 1
stumbles 1
sword 1
syndic 12
system 6
taking 1
territory 2
than 1
that 8
the 43
their 1
them 2
themselves 1
theyve 2
thing 1
to 20
together 1
total 3
transport 1
two 3
ultimatum 1
unwilling 1
up 1
use 1
used 1
using 1
usurp 1
war 1
wars 1
was 3
wedding 1
well 2
where 1
who 2
with 3
would 1
wounded 1
