12317372
/m/02v_2lt
/m/02v_2lt
David Thewlis

15000 1
850 1
a 13
abused 1
accident 1
act 1
admiration 1
after 1
again 3
all 1
also 2
american 1
amount 1
an 7
and 21
anger 1
announces 1
another 1
apologize 1
are 3
art 2
artist 2
artists 1
artworks 1
as 7
assailant 2
at 4
au 1
avec 1
away 1
badly 1
bathtub 1
be 3
because 4
before 1
behind 2
being 1
best 1
big 1
bit 1
blackpool 1
bleeds 1
blood 2
bloodstained 1
boiling 1
bolton 3
both 1
bought 1
brain 1
breaks 1
brian 1
britain 1
burned 1
but 3
buy 2
by 2
caf 1
call 1
can 1
charg 1
charged 1
church 1
cigarette 1
close 1
closest 1
combined 1
comfort 1
committed 1
connie 1
crete 1
critics 2
crowded 1
damage 1
damages 1
dans 1
days 2
de 2
death 1
decided 1
deeds 1
denies 1
depicts 1
die 2
died 2
dies 1
disgust 1
does 3
dog 1
done 2
down 2
during 2
earlier 1
eleni 9
end 2
ended 1
ends 2
est 1
et 1
even 1
events 1
exhibition 3
explains 1
eye 1
falling 1
falls 1
famous 1
fat 1
father 6
fellow 1
fight 1
finds 2
fire 2
flood 1
floor 1
for 11
found 2
four 1
freddie 1
friends 2
from 4
gathered 1
get 1
girlfriend 1
glad 1
go 1
god 1
godfrey 2
greek 1
gun 1
had 2
hands 1
hanging 1
has 6
hasard 1
have 2
having 1
he 17
head 1
heads 3
heard 1
hearing 1
hector 28
her 1
herself 1
hides 1
him 4
himself 2
his 13
hole 1
home 2
hopes 1
hospital 3
house 1
however 1
i 1
if 2
implication 1
in 13
inside 3
instead 1
into 2
introduces 1
irish 1
is 8
it 4
jumps 1
just 1
kill 1
killing 3
kills 2
kipling 1
kirk 1
kitchen 1
know 1
lacte 1
large 2
late 1
later 2
latter 1
le 1
learned 1
leaves 1
leaving 1
left 2
lenny 8
let 1
letting 1
little 1
loaded 1
london 1
longing 1
loves 1
make 1
makes 2
marcher 1
mass 1
mean 2
meanwhile 1
meet 1
meets 1
mistakes 1
modern 1
money 2
monger 5
morning 1
mother 5
much 2
munch 1
murder 1
museum 1
named 1
native 1
nearby 1
neighbour 1
never 2
new 1
night 4
not 2
nothing 1
of 20
off 1
on 5
one 7
only 2
open 2
opening 2
out 4
outright 1
ovarian 1
own 1
paining 1
paintings 2
paints 1
paper 1
parents 3
person 1
pet 1
peuple 1
plus 1
poet 1
poetry 1
police 1
policeman 1
pounds 2
previous 1
prison 1
punk 1
random 1
reactions 1
receive 2
relates 1
remains 1
rest 2
resulting 1
return 1
reveals 1
revolver 2
robs 1
rosa 6
says 1
sea 1
secondhand 1
seeing 1
settee 6
several 2
severely 1
sewell 1
sex 2
she 5
shooting 1
shortly 2
simple 1
simplest 1
smells 1
smoke 1
snook 2
so 2
sofia 2
someone 1
something 1
son 1
spent 1
stain 1
staying 1
stendhal 1
still 1
stood 1
story 1
street 1
suicide 3
surraliste 1
surrealism 1
sympathy 2
syndrome 1
take 1
takes 1
tate 2
that 8
the 39
their 1
them 1
then 1
there 1
they 1
thing 1
this 3
though 1
threw 1
through 1
throwing 1
tirer 1
to 16
together 1
too 1
translates 1
tumor 1
two 2
un 1
une 1
unexpected 1
up 6
upon 2
varied 1
visiting 1
visits 1
walk 1
wall 1
wandsworth 1
wants 1
was 3
wasnt 1
well 2
what 1
when 7
which 3
while 2
who 5
will 2
wishes 1
with 12
without 1
words 2
world 1
would 6
write 2
yelled 1
you 1
