13696086
/m/03cfbc4
/m/03cfbc4
Doris Lessing

{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
150s 1
17 1
178 1
a 1
adolescence 1
afflictions 1
africa 1
aldermaston 1
an 1
anarchy 1
and 2
as 1
at 1
before 1
begin 1
birth 1
britain 2
bubonic 1
by 1
central 1
century 1
character 1
children 1
city 1
coast 1
cold 1
contaminated 1
deepening 1
develops 1
died 1
dies 1
end 1
ends 1
explosions 1
first 1
fourgated 1
from 1
gases 1
grip 1
have 1
her 2
history 1
in 6
integrally 1
is 3
island 1
london 2
marches 1
marriage 1
martha 3
most 1
multiple 1
nerve 1
northwest 1
nuclear 1
of 10
off 1
on 1
part 1
people 1
plague 1
postwar 1
poverty 1
quest 1
scotland 1
second 1
series 1
set 1
shaped 1
she 1
social 2
southern 1
swinging 1
the 18
three 1
through 1
time 1
violence 1
volume 1
war 4
with 1
world 3
year 1
youth 1
