7157972
/m/0h78vf
/m/0h78vf
Mercedes Lackey
2006-07
a 56
abilities 3
ability 1
able 7
about 1
accepts 1
action 1
acts 1
affect 1
after 2
afterwards 1
against 2
ago 1
agree 1
aid 2
all 8
alliance 1
allied 8
allies 3
allow 1
allowable 1
allows 1
along 2
already 2
also 1
alternative 1
although 2
ambush 1
an 11
ancadalar 7
ancaladar 2
ancient 1
and 87
andoreneil 5
andoreniel 3
anigel 1
anigrel 2
animal 1
another 2
answer 1
any 2
appeared 1
appears 1
approach 2
approaches 2
approximately 1
arch 1
are 7
area 2
armethaleih 5
armethalieh 2
army 18
arrival 1
arrive 1
arrives 1
as 15
ashaniel 1
asks 2
asleep 1
assist 3
associated 1
at 7
attack 3
attacking 1
attacks 3
attempt 1
attempting 1
attempts 1
authority 1
autonomy 1
awake 1
baby 1
back 3
banished 1
banners 1
bargain 1
barrier 1
battle 2
battles 1
be 9
bed 1
been 2
before 4
begin 1
begins 2
belief 1
believes 2
bells 1
between 1
bind 1
birthmark 1
blade 1
blindly 1
blocked 1
body 1
bonded 1
bonds 3
books 2
borders 1
born 1
both 3
bound 1
break 4
bring 1
brought 1
burns 1
but 6
by 11
calling 1
camp 1
can 3
cannot 2
capital 1
capture 1
captured 1
capturing 1
cast 6
casting 3
cause 1
caused 1
cautiously 1
cave 3
caverns 1
chamber 1
chambers 1
charges 1
chest 1
children 1
cilarnen 17
circle 6
cities 1
citizens 1
citizenship 1
city 19
closes 1
clues 1
coldwarg 1
collapses 1
combination 2
combines 1
come 1
comes 1
command 2
commander 1
commences 1
communication 2
communications 1
completely 1
completes 1
complex 1
confers 1
confront 1
confused 1
consent 1
constant 1
continual 1
continue 1
continues 1
control 2
convey 1
convince 1
convinces 1
corrupted 1
cost 1
costs 1
could 1
council 7
counseling 1
cover 1
covered 1
create 1
created 1
creator 1
creatures 1
crosses 1
crown 1
crowned 2
crystal 4
cure 1
custody 1
damaged 1
day 1
days 1
deal 1
death 1
decimated 1
declines 1
defeat 1
deflecting 1
demon 10
demonic 1
demons 11
depart 2
departs 1
depleted 1
destroy 1
destruction 2
determine 1
devising 1
directions 1
directly 1
disappear 1
discover 3
discuss 1
dispel 1
distract 1
divide 1
do 2
does 1
doesnt 2
done 1
door 1
dragon 1
drained 1
drake 1
dreams 1
due 1
during 3
effort 1
eightpointed 2
elemental 3
elementals 2
else 1
elven 10
elves 8
enchanted 2
enclave 3
encountering 1
end 1
endarkened 4
enemy 2
energy 1
enlightened 2
enough 3
enter 2
entering 1
enters 2
entire 2
envoy 1
eradicate 1
essence 1
eulogy 1
evacuates 1
evacuation 1
even 5
exists 1
exits 2
extremely 1
eyes 1
fall 2
far 2
farcarinon 1
farther 1
father 3
favour 1
few 1
fictitious 1
fighting 1
final 1
finally 2
find 5
finds 1
first 2
fit 1
flaws 1
floods 1
flower 1
flowers 1
follow 1
followed 1
following 1
for 13
force 2
forces 2
forest 2
form 1
fortress 5
fortunately 1
found 1
from 15
frost 1
fruitless 1
funeral 2
further 4
game 1
gates 1
get 2
giant 1
giants 1
gift 2
girl 1
give 2
given 3
gives 3
giving 2
glimpses 1
go 3
goal 1
golden 2
goodbye 1
gotten 1
grand 1
great 4
greater 1
greatly 1
group 1
guard 1
halacira 4
half 1
hand 2
hands 2
has 7
have 5
he 25
heading 1
health 1
hear 1
help 5
her 14
high 15
highest 1
him 11
himself 2
his 22
hold 1
holding 1
holds 1
homes 1
hopefully 1
horns 2
however 4
huge 1
hunt 4
ice 2
idalia 14
if 3
ilk 1
ill 1
illness 1
illusion 1
image 1
immediate 2
in 29
including 1
incurred 1
influence 1
inform 4
informing 1
informs 1
inhabitants 1
initiates 1
inside 2
intact 1
intend 1
intercedes 1
intercept 1
interfering 1
internal 1
intervenes 1
into 1
is 27
isnt 1
isolated 1
it 15
its 4
itself 1
jermayan 19
jeweled 1
jewels 1
journey 1
just 1
keirasti 3
kellen 30
kidnapping 1
kill 2
kind 1
kindolhinadetil 1
king 5
kisses 1
knightmage 2
knights 1
know 3
knowing 1
known 1
lacks 2
land 5
lands 6
landwards 1
last 5
latent 1
later 3
law 1
lead 2
leader 1
leadership 1
leads 2
learn 1
learns 3
leaves 3
leaving 1
left 1
let 1
lies 1
lifespan 1
light 3
likewise 1
little 1
lives 2
located 1
lock 1
loosed 1
lord 1
lost 1
lowering 1
lycaelon 11
made 2
mage 6
mageprice 1
mages 7
magewardens 1
magic 6
magical 2
magically 1
magick 4
main 1
make 2
manage 1
manages 3
many 4
marriage 1
masks 1
may 2
meant 1
meanwhile 2
meet 1
meeting 2
members 1
memories 1
menace 1
merely 1
merges 1
messages 1
midnight 1
mildest 1
mind 5
minutes 1
moment 1
monster 1
months 1
moon 1
mop 1
most 3
mother 1
mountain 2
mountains 2
move 2
moved 1
moves 4
moving 1
much 2
must 1
nation 1
nature 1
near 2
nearbanished 1
nearby 1
nearly 2
necessity 1
necklace 1
need 3
needs 1
negotiates 1
nerendale 2
new 1
news 2
next 2
nine 1
no 2
nominal 1
nonfatal 1
north 1
not 2
now 2
nowdistant 1
nowsprung 1
numerous 1
obvious 1
of 87
offers 1
often 1
older 1
on 10
ondoladeshiron 1
one 5
only 3
open 1
opens 1
orders 4
other 3
out 5
outside 1
over 3
own 1
parallel 1
party 3
pass 1
pattern 1
permission 2
person 1
place 5
placed 2
plague 3
plan 2
plans 2
plots 1
point 1
points 1
policing 1
population 1
possible 1
power 10
powerful 1
powers 2
precisely 1
pregnant 2
prepare 1
prepares 1
presence 1
previous 1
prince 2
privately 1
problem 1
proceeds 1
prodding 1
progress 1
prolonged 1
promises 1
proposes 1
protect 2
qualifies 1
queen 4
races 4
raids 1
ranking 1
reach 2
reaching 1
reacquired 1
read 1
realize 1
realizes 1
reborn 1
rebuilding 1
recast 1
received 1
receives 1
recently 1
reclusive 1
recognize 1
recovered 1
recovers 1
redhelwar 7
reduced 1
reforming 1
refugees 3
refuges 1
refuse 2
regain 1
regardless 1
regards 1
regenerate 1
reiterates 1
rejoins 1
relative 1
release 1
released 1
releases 1
remain 1
remains 2
reorganization 1
replenishing 1
representing 1
represents 2
required 1
rescued 1
rest 1
restores 1
restoring 1
return 4
returned 1
returns 1
riddle 1
ring 1
river 1
rocks 1
runes 1
runs 2
sacrifice 1
sacrifices 1
sacrificing 1
safety 2
salamander 1
same 1
save 2
saved 1
savilla 9
saying 1
scholar 1
scry 1
scrying 2
seal 1
sealing 1
secret 2
secure 1
see 4
seems 1
send 2
sending 2
sends 2
sennight 1
sentarshadeen 3
serve 1
setarion 1
shadewalker 1
shadow 3
shadowed 5
shalkan 3
shatter 1
she 8
shell 1
shields 1
shortening 1
shortly 2
should 1
shouldnt 1
side 1
sides 1
silver 1
silvery 1
simple 1
slaves 1
slays 1
slow 1
small 2
so 2
solution 1
some 2
somewhere 1
source 1
spares 1
speak 1
spear 2
specifically 1
spell 9
spells 2
spends 1
spiders 3
spring 1
star 2
starry 4
still 3
stop 1
storms 1
strikes 1
strong 1
succeed 1
suffering 1
suitable 1
summoning 2
summons 1
sun 1
sunning 1
surround 1
surrounding 1
survives 1
suspects 1
sustain 1
switch 1
tactic 1
tainted 1
take 1
takes 1
telepathic 1
tells 3
temporarily 1
temporary 1
than 1
that 29
the 245
their 10
them 6
then 2
they 10
think 1
third 3
this 1
those 2
though 5
thousand 1
three 1
through 6
time 4
to 109
together 1
token 1
