7227104
/m/025wqfc
/m/025wqfc
Scott Lynch
2007-06
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel"}
a 3
against 1
all 2
an 1
and 3
another 1
are 2
arrive 1
attempt 1
attentions 1
bondsmagi 2
bring 1
camorr 1
chance 1
city 2
coin 1
coopted 1
countless 1
dont 1
drakasha 1
end 1
erstwhile 1
escaping 1
even 1
ever 1
find 1
fled 1
fleet 1
for 2
from 3
galley 1
games 1
gaming 1
has 2
have 1
heist 1
home 1
house 1
humiliated 1
in 2
into 1
is 1
its 1
jean 2
justice 1
know 1
lamora 1
lived 1
locke 3
luxurious 1
man 1
most 1
no 1
notorious 1
of 7
offer 1
on 2
one 3
or 1
other 1
pirate 1
planning 1
plotting 1
revenge 1
riches 1
ship 1
single 1
sinspire 2
soon 2
spectacular 1
state 1
tables 1
take 1
taken 1
taking 1
tal 1
tannen 1
that 1
the 14
their 3
them 1
themselves 1
there 1
they 3
thieves 1
this 1
thorn 1
to 2
unusual 1
verrar 1
wasnt 1
where 1
while 1
who 2
will 1
won 1
work 1
yet 1
zamira 1
