22866269
/m/063_3k1
/m/063_3k1
Sara Zarr

{"/m/03mfnf": "Young adult literature"}
a 8
affair 2
affection 2
after 2
again 1
ago 1
alongside 1
also 2
and 16
any 1
april 2
around 2
arrives 1
as 1
at 5
back 1
basement 1
become 1
becomes 1
before 1
begins 1
behind 1
best 1
boss 1
branding 1
brother 2
buick 1
by 2
california 1
car 1
caught 2
causes 1
centers 1
child 1
chool 1
coincidentally 1
cold 1
coming 1
darren 2
dating 1
day 1
dealing 1
deanna 12
decides 1
deepens 1
develops 1
distant 1
does 1
end 1
envious 1
especially 1
evening 1
exile 1
family 1
fantasy 1
father 6
feelings 1
finds 1
fled 1
for 2
friend 3
friendship 1
from 3
gets 2
girlfriend 1
gives 1
gossip 1
grows 1
had 1
happy 2
having 1
he 2
her 16
his 2
home 4
hometown 1
house 1
houseleaving 1
illegitimate 1
in 5
inhibited 1
inner 1
intending 1
is 4
it 1
jason 3
job 1
keeping 1
lambert 1
lashes 1
later 1
leave 1
lee 4
left 1
live 1
lives 1
long 1
love 1
michael 3
mind 1
more 2
motherhood 1
motives 1
move 1
moves 1
moving 1
named 1
never 2
not 1
now 1
of 10
older 1
on 2
one 2
only 1
other 1
out 2
pacifica 1
parlor 1
party 1
past 1
peace 1
picasso 2
pizza 2
popular 1
progresses 1
ratty 1
reconciles 1
return 1
returning 1
returns 1
revealed 1
ride 1
rumors 1
same 1
secret 1
seventeenyearold 1
sex 1
she 5
showing 1
slut 1
small 1
so 1
social 1
stacy 4
still 2
story 2
suddenly 1
summer 2
suspicious 1
teen 1
temporarily 1
that 2
the 12
their 2
then 1
thirteen 1
three 1
time 1
to 7
tommy 6
topic 1
towards 1
troubled 1
truly 1
trusting 1
unprotected 1
was 1
webber 3
what 1
when 1
which 1
while 2
who 1
with 6
witnessed 1
word 1
work 1
working 1
years 1
