13755638
/m/03ch8rp
/m/03ch8rp
Darren Shan
2008-05-01
{"/m/01hmnh": "Fantasy", "/m/03npn": "Horror"}
about 2
after 1
also 1
and 3
apocalypse 2
as 3
at 1
bec 3
beranabus 1
book 1
by 1
climax 1
concluded 1
continuing 1
demon 2
dervish 1
discovered 1
events 1
foe 1
for 1
great 1
grubbs 2
information 3
inside 1
is 4
kahgash 1
kernel 2
known 1
living 1
months 1
more 2
mysterious 1
mystical 1
narrated 1
novel 1
of 3
on 3
reveals 1
sealed 1
search 1
seen 1
shadow 1
six 1
starts 1
staying 1
the 8
this 1
using 1
weapon 1
well 1
which 1
who 1
with 1
