10561145
/m/02qhvfy
/m/02qhvfy
Jamaica Kincaid
1990-09
a 8
able 1
about 2
actions 1
adult 1
affair 1
after 1
ago 2
alienation 1
alone 1
also 5
america 1
an 5
and 10
annie 1
applauded 1
appreciate 1
as 6
at 3
attending 1
au 2
beauty 2
because 3
become 1
becomes 2
begins 1
behind 2
best 2
between 1
bond 1
boss 1
both 2
boy 1
boyfriend 1
british 1
brother 1
but 2
by 2
cannot 1
central 1
centuries 1
cheated 1
cheating 1
childhood 1
children 2
claims 1
close 1
cloud 1
complicated 1
control 1
could 1
curses 1
daffodils 4
daughter 1
day 1
describes 1
develops 1
die 1
dinah 2
discover 1
do 1
does 3
draws 1
dream 1
eager 1
education 1
encompasses 1
encounter 1
end 2
ends 1
english 2
escape 1
escaping 1
especially 1
event 1
evident 1
explains 1
explores 1
fake 1
family 1
father 1
feel 1
feeling 1
feels 5
felt 1
first 2
for 5
forced 1
former 1
friend 3
friends 2
from 3
girl 2
grow 1
guy 2
happened 1
has 5
hates 1
he 1
her 23
him 1
home 2
homeland 1
homoerotic 1
how 1
hugh 2
husband 1
i 1
illustrated 1
in 9
indies 1
influences 1
inside 1
is 5
island 1
it 1
leave 3
leaves 1
lewis 4
like 3
lonely 1
longs 1
love 2
lover 1
lucy 33
makes 1
many 1
mariah 9
meets 4
memorize 1
miriam 1
moment 1
more 1
mother 9
much 1
named 3
narrator 1
near 1
needs 1
new 3
nostalgic 1
not 3
novel 5
of 7
on 5
one 3
oppressed 1
order 1
other 1
outside 1
own 1
pair 2
park 1
past 2
paul 2
peggy 4
people 1
poem 4
point 1
potter 1
protagonist 1
queen 1
realizes 1
really 1
recalls 1
reciting 1
relationship 4
remind 1
represent 1
resemblance 1
roughly 1
same 1
school 2
see 1
seen 1
sees 3
sex 1
sexual 1
sexuality 1
she 19
smokes 1
so 1
someone 1
speaker 1
special 1
states 2
tanner 1
than 1
that 7
the 30
theme 1
they 1
things 1
this 5
though 1
thought 1
times 1
to 9
towards 1
toxic 1
try 1
trying 1
two 1
united 2
victoria 1
wandered 1
was 2
west 1
when 2
where 1
while 2
who 1
whom 8
wife 1
william 1
wishing 1
with 10
woman 1
wordsworth 1
works 2
would 1
written 1
years 1
youngest 1
