12433154
/m/02w5k47
/m/02w5k47
Carlos Fuentes
1995
a 3
about 1
all 1
and 5
area 1
between 2
border 1
both 2
but 1
california 1
conditions 1
connection 1
countries 1
culture 1
depend 1
divide 1
each 1
explores 1
feel 2
finds 1
for 1
from 1
goes 1
he 1
in 3
judgements 1
know 1
large 1
lives 1
make 1
many 1
medical 1
mexican 2
mexico 3
new 1
nothing 1
of 5
on 1
once 1
other 1
part 1
parts 1
people 4
ready 1
relationships 1
school 1
second 1
series 1
sides 1
so 1
special 1
state 1
states 1
stories 1
story 1
student 1
texas 1
that 2
the 7
their 2
there 1
time 1
to 3
trade 1
united 1
usa 1
way 1
were 1
where 1
which 1
with 1
york 1
