25973624
/m/0b6lm8n
/m/0b6lm8n
Timothy Brook
1994-02

1 1
2 1
3 1
a 4
admiring 1
allow 1
ambiguous 1
an 1
and 11
author 2
brook 2
buddhism 2
buddhist 1
building 1
by 1
circumstances 1
class 1
compilation 1
composition 1
confusianismdominated 1
context 1
contributions 1
counties 1
county 1
culture 1
detail 1
developed 1
development 1
distinct 1
divided 1
donations 1
elevate 1
elite 1
essays 1
examines 1
exercise 1
familiarity 1
flourished 1
for 2
form 1
forward 1
gentry 2
given 1
highlight 1
history 1
in 9
influence 1
institutional 1
institutions 1
interests 1
into 1
investigates 1
is 1
land 1
literary 1
made 1
magistrate 1
main 1
materials 1
monastery 1
monastic 3
money 1
new 2
not 1
of 10
one 1
openness 1
or 1
part 3
patronage 5
peculiar 1
philosophy 1
poems 1
political 1
politics 1
poor 1
position 1
power 1
praying 1
prestige 1
printing 1
protect 1
religious 1
renovation 1
reviews 1
rich 1
second 1
sections 1
social 1
society 1
that 1
the 14
they 1
third 1
three 2
to 3
toward 1
visvis 1
was 1
well 1
were 1
what 1
where 2
with 1
