838965
/m/03fwn5
/m/03fwn5
Ben Marcus
2002-03
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 8
address 1
addressing 1
allowing 1
allows 1
american 2
among 2
and 11
anthony 1
any 1
are 1
as 2
assisted 1
at 2
attached 1
attempt 1
author 1
backyard 1
be 3
become 1
before 1
belongs 1
ben 7
body 1
breeding 1
burgess 1
but 1
by 1
can 2
character 1
clockwork 1
comparison 1
complete 1
complex 1
conclusion 1
conclusions 1
contortions 1
core 1
create 1
cultish 1
dark 2
decide 1
delve 1
depressing 1
describes 1
disciples 1
draw 1
drawn 1
due 1
effrontery 1
eliminating 1
emotional 1
end 1
endangerment 1
english 1
enigmatic 1
estranged 1
experimentation 1
facing 1
father 1
feminist 1
filthy 1
firstperson 1
for 1
forcedbreeding 1
from 2
full 1
glimpse 1
group 1
growing 1
guide 1
handicapped 1
has 1
heart 1
her 6
hilarity 1
his 5
hole 1
how 2
husband 2
if 1
in 6
into 3
involving 1
ironic 1
is 3
issues 1
its 2
jane 4
language 1
largely 1
last 1
launches 1
left 1
legion 1
lengthy 1
level 1
life 1
like 1
makes 1
man 1
manner 1
marcus 8
marcusfamily 1
may 1
member 2
mentally 1
mentor 1
michael 1
mind 1
most 1
mother 2
movement 1
narration 2
nearing 1
notable 2
notably 1
novel 1
novels 1
number 1
obliteration 1
obsolete 1
obtuse 1
of 11
offspring 1
one 1
opens 1
opportunity 1
or 1
orange 1
other 2
own 2
perfect 1
physical 1
playing 1
point 1
ponders 1
possibly 1
practises 1
procedures 1
providing 1
purportedly 1
radical 1
reaching 1
reader 5
recondite 1
reflectively 1
relegating 1
rotten 1
sees 1
several 1
she 1
silentist 1
speech 1
stillness 2
such 1
system 1
takes 2
that 4
the 22
their 1
them 1
they 1
things 1
to 11
too 1
trinity 1
trusted 2
turbulent 1
turn 1
ultimately 1
ultimatums 1
unsuccessful 1
upbringing 1
using 1
utter 1
very 1
violence 1
warnings 1
well 1
wellmeaning 1
which 3
whom 1
wind 1
with 5
witty 1
women 2
word 1
words 1
work 1
world 1
young 1
