712214
/m/034ym1
/m/034ym1
Clifford Stoll
1990
075 1
1200 1
186 1
a 20
able 1
access 2
account 1
accounting 1
accounts 1
acquired 1
actions 1
active 1
activity 1
administrators 1
after 1
agencies 1
agents 2
air 1
almost 1
also 3
amazed 1
an 3
ancillary 1
and 19
apparently 2
are 1
army 1
around 2
as 7
asked 1
at 9
att 1
attached 2
attacks 1
august 1
author 1
authority 1
away 1
barbara 1
based 1
bases 2
baud 1
be 1
because 1
been 3
bellknap 1
berkeley 1
bills 1
book 2
borrowed 1
borrowing 1
bothered 1
bremen 1
bundespost 2
bureaucratese 1
by 4
california 1
call 1
calls 1
case 1
center 1
change 1
cheaper 1
cia 1
cleveland 1
clifford 1
colleagues 1
coming 3
computer 2
computers 1
confederate 1
confusion 1
connection 2
contacted 2
contained 1
contract 1
contractor 1
copied 1
could 2
course 2
coworkers 1
cracker 2
daily 1
dave 1
day 3
deal 1
defaults 1
defense 1
department 1
desks 1
deutsche 2
dialed 1
dictionary 1
did 1
distance 1
documented 1
doublechecking 1
easily 1
east 1
effort 1
elaborate 1
emacs 1
engaged 1
entice 1
error 2
even 1
eventually 3
everything 1
exploiting 1
factory 1
familiar 1
fbi 1
fictitious 1
fifty 2
files 3
filled 1
finally 1
find 1
first 2
fly 1
for 5
force 1
formed 1
found 1
free 1
from 5
full 1
function 1
gained 1
general 1
german 1
germany 2
gnu 1
great 1
guess 1
guest 1
hacker 15
hacking 3
had 6
hanover 1
have 4
he 11
help 2
helped 1
hess 4
highsecurity 1
him 1
himself 1
his 5
hoax 1
home 1
honeypot 1
horses 1
hungarian 1
hypothesized 1
if 1
imaginary 2
impressivesounding 1
in 15
incoming 1
information 3
interested 1
intrusion 4
inventing 1
investigation 1
it 1
job 1
jurisdiction 1
just 1
keep 1
kgb 2
knew 1
known 1
laboratory 1
large 1
later 1
lawrence 1
lbl 3
left 1
line 2
lines 2
lloyd 1
located 2
log 3
long 1
looking 1
lot 1
mail 1
mainly 1
make 1
making 1
managed 1
many 2
markus 1
mclean 1
method 1
middle 1
military 1
mitre 1
modem 2
months 1
most 1
mostly 1
movemail 1
murray 1
name 1
national 1
never 1
new 1
newly 1
next 1
night 2
no 1
not 1
noted 1
nsa 1
nuclear 1
obtained 1
of 19
office 1
on 3
one 1
only 2
operated 1
or 2
order 3
origin 1
original 1
osi 1
over 4
pacific 1
paid 1
password 2
passwords 3
paul 1
people 1
phone 4
physically 1
ploy 1
post 1
proof 1
realized 2
record 1
recorded 1
reluctance 1
resolve 1
results 1
returning 1
reveal 1
root 1
rounded 1
routing 1
satellite 1
saw 2
school 1
sdi 3
sdinet 2
seconds 1
secretary 1
see 2
seems 1
selling 2
service 1
set 2
share 1
sherwin 1
since 3
sites 1
so 1
some 4
sometimes 2
sought 1
soviet 1
spent 1
spy 1
states 1
stoll 14
studying 1
such 1
supervisor 1
supposedly 1
system 3
telephone 1
teleprinter 1
teleprinters 1
ten 1
tended 1
terminals 2
testify 1
that 11
the 60
their 1
them 3
there 2
these 1
they 1
this 4
through 2
time 5
to 26
today 1
traced 2
tracing 1
tracked 1
trial 1
trojan 1
tymnet 3
unauthorized 3
united 1
university 1
unix 1
up 5
usage 1
usd 1
used 1
user 2
using 1
various 3
via 1
virginia 1
vms 1
vulnerability 1
was 17
weekend 3
well 1
west 1
when 2
which 1
who 2
with 6
words 1
worked 1
would 1
years 1
zone 1
