60267
/m/0gd4w
/m/0gd4w
Len Deighton
1966
{"/m/06n90": "Science Fiction", "/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
a 5
after 2
agency 1
also 1
an 2
and 5
army 1
arrival 1
attempt 1
balance 1
between 1
billion 1
billionaire 2
bloc 1
both 1
brain 2
by 1
cold 1
communism 1
contained 1
deadly 1
deliver 1
delivered 1
discovering 1
discovers 1
dollar 1
eastern 1
eccentric 1
end 1
fact 1
falling 1
favour 1
from 3
general 1
hands 1
he 1
helsinki 1
his 2
in 5
instructions 1
intelligence 1
into 1
is 1
latvia 1
madman 1
mechanically 1
message 2
midwinter 2
must 1
mysterious 1
nuclear 1
of 3
on 1
one 1
operated 1
organise 1
own 1
owned 1
package 2
prevent 1
private 1
process 1
protagonist 3
receiving 1
soon 1
sovietoccupied 1
soviets 1
start 1
stop 1
supercomputer 1
superpowers 1
telephone 1
texan 1
that 2
the 18
this 1
tip 1
to 4
travels 1
unnamed 1
uprising 1
using 1
virus 2
war 2
was 1
west 1
which 1
will 1
