25456679
/m/09k6ry1
/m/09k6ry1
Jane Lindskold
2004
a 7
acquire 1
acts 1
adopting 1
after 1
ago 1
agreement 1
air 1
all 1
alongside 1
also 3
amongst 1
an 3
ancient 1
and 19
animal 2
animalhuman 1
animals 5
another 1
are 5
as 3
attack 1
aware 1
back 1
baron 1
barren 1
based 1
because 1
befriended 1
begins 2
being 2
benefit 1
between 1
blind 5
blood 1
book 1
brought 1
build 1
but 3
by 3
called 2
can 1
carter 3
casualties 1
child 1
citizens 1
common 1
communicate 1
could 1
counting 1
countries 1
country 1
courted 1
create 1
creatures 1
darrien 4
day 1
deep 1
defend 1
deities 2
destroyed 1
discover 1
earth 1
edge 1
elaborate 1
elements 1
end 1
endbrook 2
existence 1
falls 1
finds 1
fire 2
firekeeper 13
five 1
for 2
fought 1
give 1
grotesque 1
guide 1
has 1
have 1
haven 2
hawk 2
he 2
heart 1
help 1
her 2
herself 1
hesitant 1
highly 1
himself 1
home 1
hope 1
horses 2
however 1
humans 2
hybrids 2
in 6
into 3
is 4
islands 4
it 1
jaguar 1
journey 1
kidnapped 1
killed 1
land 2
large 1
lead 1
legends 1
liglim 8
live 1
lives 1
love 1
magic 2
maimalodalum 2
majority 1
male 1
meanwhile 1
meets 2
met 1
native 1
natural 1
neighboring 1
new 1
north 2
northerners 1
of 14
off 1
old 1
on 5
one 2
only 1
other 1
own 1
pack 1
packs 1
people 1
power 2
previously 1
religious 1
remain 1
responsible 1
results 1
royal 8
ruined 1
secret 1
seer 6
sentient 1
set 2
settlement 2
settlers 1
shape 1
shapeshifting 1
she 4
shores 1
skill 1
small 1
southern 1
spend 1
survivors 1
suspects 1
teach 1
tell 1
temples 1
territory 1
that 6
the 31
their 3
them 1
there 2
they 3
this 1
threatens 1
time 2
to 12
towers 2
trade 1
traditions 1
transform 1
travel 2
traveled 1
tried 1
truth 1
unknown 1
unusual 1
unwilling 1
valued 1
want 1
was 3
water 1
were 1
which 1
who 2
will 1
with 4
wolf 2
wolves 1
woman 1
works 1
worship 1
years 1
