724729
/m/035wx7
/m/035wx7
David Eddings
2000-07-03
a 29
ability 1
about 4
accepts 1
accomplish 1
acquainted 1
act 1
advantage 1
affection 1
after 10
against 1
age 1
agent 2
agrees 2
air 1
albron 1
alive 1
all 5
allies 1
allow 1
along 2
althalus 22
although 2
amiss 1
amusing 1
an 5
and 42
andine 12
anguish 1
any 1
appears 1
archaic 1
are 4
army 3
around 1
arrived 1
arrives 1
arriving 1
arum 2
arya 1
as 9
ask 1
astonishing 1
at 5
attacking 1
attempt 1
avalanches 1
awes 2
back 3
bags 1
be 5
beaten 1
become 2
been 1
before 3
behind 1
being 2
bheid 5
blatantly 1
blocks 1
body 1
book 8
boy 1
brass 2
break 1
breaks 1
bringing 1
brother 1
burned 1
but 6
buy 1
buying 1
by 7
called 1
calling 1
camp 3
can 4
capture 1
captures 1
care 1
cares 1
cat 4
causing 1
chained 1
chambers 1
change 2
changes 1
chased 1
chosen 1
city 2
claim 1
clan 2
clans 1
clean 1
coins 4
collect 2
combat 1
come 1
comes 1
conversation 1
converts 1
convince 1
copper 1
copy 1
created 2
crushed 1
daeva 9
dalthalus 1
days 2
de 1
deal 1
decide 1
decides 5
deciding 1
defeat 1
defeated 1
deiwos 5
depository 1
destined 2
destroy 1
destruction 1
disasters 1
discover 1
discovered 1
do 3
doing 1
dominion 1
doors 2
down 1
during 2
dweia 5
each 2
easily 1
eerste 1
effect 1
eliar 15
eliarfinally 1
emerald 11
emmy 1
enchantment 1
end 4
ending 1
enemy 1
enigmatic 1
escapes 1
establish 1
every 2
everyone 1
evil 1
except 1
explains 1
face 1
family 1
feats 1
feet 1
fialthalus 1
fifth 1
fight 1
filled 1
final 1
finally 2
find 5
finds 5
first 1
focuses 1
follow 1
for 6
forces 4
forecasts 1
formulating 1
fort 3
fortune 1
fourth 1
frla 1
from 3
full 1
furious 1
gather 1
gathered 1
gelta 3
getting 1
ghend 5
gher 3
gift 1
give 2
god 3
gold 3
grew 1
group 2
guide 1
half 1
handful 1
has 5
hastily 1
hatch 1
hatred 1
have 3
having 1
he 16
head 2
heads 1
hear 2
heart 1
help 1
helps 1
her 6
hide 1
him 8
hire 1
hires 1
his 6
horses 1
house 8
however 2
hule 3
ice 1
if 1
ijstijd 1
in 18
including 1
information 1
initial 1
injured 1
interrogation 1
intervening 1
into 6
introduces 1
involves 1
is 14
it 6
its 1
ja 1
job 1
keeper 1
keeps 1
killing 1
knife 8
know 1
kronieken 1
kweron 2
lands 1
later 1
leading 1
leads 2
learning 1
leave 1
leaves 1
leaving 1
leitha 2
lie 1
lies 1
lightning 1
limited 1
listen 2
little 1
living 2
loyalty 1
luck 1
maailman 1
magic 1
make 1
making 1
man 2
manages 1
many 1
matka 1
meet 1
meeting 1
member 9
memberemerald 1
millennia 1
mine 1
missing 1
modern 1
more 2
morning 2
must 2
named 3
need 1
needs 1
new 2
newest 2
night 3
nlde 1
no 1
none 2
nonexistent 1
north 1
numerous 1
occupied 1
of 40
off 2
on 4
ones 1
only 6
or 2
origins 1
osthos 5
other 5
out 10
over 1
overhears 1
own 1
owner 1
palace 2
part 2
parts 1
party 3
past 1
people 2
personhaving 1
persuade 1
picks 1
pile 1
plan 1
planet 1
planning 1
posing 1
powers 1
predicting 1
prepare 2
presents 1
pretend 1
priest 3
priests 2
private 1
problems 1
professional 1
proposition 1
provide 1
puppet 1
purpose 1
purses 1
queen 3
quell 1
quickly 2
randomly 1
rdemption 1
read 2
reads 1
ready 1
reality 1
realize 1
refrains 1
refuge 1
rejoin 1
releasing 1
reluctant 1
remaining 1
remarks 1
reputation 1
respect 1
return 3
returning 1
reveals 3
revolves 1
riin 1
rob 1
rocks 1
role 1
ruler 1
savage 1
save 1
saving 1
scathing 1
scheme 1
screams 1
seeing 1
seems 1
seen 1
sell 2
sends 1
set 1
several 4
she 1
short 1
show 2
situation 2
sixth 2
sky 1
slave 1
slavers 1
slaves 4
slays 1
sneak 1
sneaking 1
so 2
soldier 3
some 1
someone 1
something 2
sorts 1
spacetime 1
spell 1
stages 1
steal 1
steals 1
storeroom 1
stories 1
story 1
storytelling 1
strikes 1
struck 1
stumble 1
success 1
suspects 1
svtjuven 1
take 1
taken 1
taking 2
talk 1
talking 1
teaches 1
telling 1
tells 2
than 2
thanks 1
that 17
the 109
theft 1
their 12
them 6
themselves 1
there 4
they 19
thief 2
things 2
this 7
those 1
thoughts 1
thousand 2
through 2
thus 1
time 2
to 70
told 1
tow 1
towards 4
trapped 2
travel 6
traveling 1
travels 1
tries 2
triggered 1
troupe 1
trust 1
try 2
turns 2
twenty 1
two 3
ultimately 1
uncanny 1
under 1
unfortunately 2
universe 2
unnoticed 1
up 6
upon 1
use 2
used 1
using 1
van 1
village 1
voice 1
walls 1
wants 1
warfare 1
was 1
way 1
well 2
were 1
what 1
when 1
where 6
which 5
while 2
who 6
whom 2
why 1
will 6
win 1
witch 3
with 17
wont 1
working 1
world 9
worms 1
worthless 1
writing 1
years 1
young 1
