2683082
/m/07xqxg
/m/07xqxg
Connie Willis
2001
a 31
able 1
about 7
accompanied 1
accurate 2
activity 1
adrift 1
after 1
again 1
against 1
agrees 1
all 2
also 2
alzheimer 1
an 3
and 26
angels 1
animated 1
appearing 1
approach 1
approaching 1
are 2
artificial 2
as 5
ask 1
asks 1
aspires 1
at 1
attempts 1
awaken 2
awakens 1
away 1
back 1
be 1
because 2
becomes 1
before 6
being 1
believes 1
between 2
body 1
books 2
born 1
brain 3
briarley 5
budding 1
but 1
by 7
call 1
called 1
can 6
cannot 1
causes 1
certain 1
charlatan 1
chemical 1
child 1
clarify 1
class 1
clinical 1
coma 1
communicate 1
compatible 1
competitors 1
consciousness 1
considers 1
consults 1
contacts 1
contaminated 1
convinces 1
cosmic 1
could 2
create 1
crushing 1
crying 1
cute 1
dark 1
dead 1
death 2
defect 1
deranged 1
describe 1
develops 1
died 2
dies 2
disaster 1
disasters 1
discovered 2
discovers 1
discovery 2
discussed 1
disease 1
do 1
dog 1
down 2
dr 2
dreamlike 2
drug 1
dying 3
ed 1
efforts 1
elects 1
emergency 1
encounters 1
ends 1
english 1
enough 1
enters 1
escape 1
eventually 1
evidence 1
exactly 1
experience 2
experiences 4
experimental 1
fade 1
few 1
figure 1
final 1
find 2
finding 1
finds 4
flirt 1
for 3
friends 1
from 6
frustrated 1
further 1
gets 1
girl 1
give 2
gives 2
goes 1
good 1
grasping 1
had 3
happened 1
happy 1
hardship 1
has 3
have 2
having 1
he 9
hearing 1
heart 2
help 4
her 13
hers 1
herself 4
high 2
highly 1
him 4
himself 2
his 4
hours 1
however 1
if 2
imaginary 1
importance 1
important 1
in 9
induce 1
induces 1
influence 1
information 3
instead 1
intact 1
intellectually 1
interest 1
interview 1
interviews 1
into 1
is 14
it 4
joanna 20
join 1
jump 1
keen 1
key 1
kit 1
lacking 1
lander 3
last 1
late 1
later 2
leading 1
learning 1
learns 2
life 2
line 1
live 1
losing 1
maisie 5
man 1
manages 1
mandrake 4
many 2
maurice 1
mechanism 1
mellifluous 1
memories 2
mentioned 1
message 4
metaphorically 1
method 1
methodology 1
monitor 1
more 1
mr 4
mutual 1
names 1
nde 5
ndes 8
near 1
neardeath 4
nellis 1
neural 1
niece 1
not 1
novel 1
now 1
nurse 2
obstacles 1
occurs 1
of 18
offices 1
often 1
on 5
once 1
only 1
or 2
other 1
out 1
part 1
passage 1
passengers 1
pat 1
pathway 1
patient 2
patients 8
people 2
persistent 1
person 3
prep 1
process 1
promises 1
proper 1
psychologist 1
public 1
publishes 1
questions 1
races 1
rationalist 1
reach 1
read 1
real 2
realizes 4
receives 1
remains 1
repeatedly 1
rescue 1
research 1
researcher 1
rest 1
revive 1
revived 3
richard 9
rms 1
rogue 1
romantic 1
room 1
sabotages 1
save 1
say 1
scenario 1
school 2
scientific 1
secrets 1
sees 2
selfreported 1
send 2
sessions 1
she 23
ship 2
sinks 1
some 1
someone 2
something 1
sos 1
specifically 1
spoke 2
stabbed 2
star 1
start 1
still 1
struggle 1
struggles 1
study 2
successfully 1
such 1
suffers 3
suitable 1
survive 1
symbolic 1
symbolically 1
taint 1
talking 1
teacher 3
tell 2
tells 1
that 13
the 40
their 5
them 1
then 1
thereby 1
they 4
thinking 1
thinks 1
this 2
through 2
throughout 1
times 1
tish 3
titanic 10
to 24
told 2
too 1
tracks 2
transplant 1
treatment 2
trying 2
under 1
undergo 1
undergoing 1
understand 1
until 1
uses 2
version 1
vfib 2
victims 1
vielle 2
visit 1
volunteers 2
was 3
watch 1
water 1
way 2
well 1
what 3
when 3
where 1
which 3
while 1
white 1
who 6
why 2
will 5
with 6
within 1
wojakowski 1
words 2
wright 4
