16825737
/m/0407l98
/m/0407l98
Scott Turow
1996
160s 1
a 4
accused 1
all 1
also 1
an 1
and 2
appear 1
are 1
arranging 1
becomes 1
burden 1
characters 1
county 2
court 1
courthouse 1
current 1
daughter 1
eddgar 1
esthe 1
failing 1
fathers 2
fictional 1
ghettoactivist 1
here 1
his 1
in 6
infant 1
is 3
judge 1
kindle 2
klonsky 1
last 1
laws 2
many 1
marriage 1
mastectomy 1
midwestern 1
minor 1
mother 1
murder 2
narratives 1
narrator 1
nile 1
novela 1
novels 1
now 1
of 7
one 2
other 2
our 2
over 1
parallel 1
presiding 1
proof 1
prosecutor 1
reader 1
regarding 1
seen 1
set 1
she 2
single 1
sonia 1
story 1
superior 1
taking 1
the 11
through 1
told 1
trial 2
turow 2
two 1
was 1
when 1
which 1
who 1
with 1
