784428
/m/03c3k6
/m/03c3k6
Aleksandr Pushkin


a 12
absence 1
again 1
an 1
and 11
are 2
arrange 1
at 1
aunt 2
back 1
barrel 2
be 2
beautiful 1
birth 1
bride 1
bumblebee 1
but 2
buyan 1
by 2
cast 1
child 1
chosen 1
city 1
continues 1
cook 1
course 1
court 2
creates 1
desire 1
distant 1
enchanted 1
end 1
ends 1
escapes 1
expresses 1
eye 2
find 1
fly 1
for 3
from 1
gives 2
goes 2
grandmother 1
grown 1
guise 2
gvidn 1
gvidon 4
have 1
having 1
he 10
her 2
him 2
his 9
home 2
homesick 1
hunting 1
in 9
instead 1
into 4
is 7
island 1
itself 1
jealous 1
kite 1
magical 1
makes 1
marries 1
mosquito 1
newlymarried 1
nose 1
of 6
off 1
old 1
older 1
on 2
other 1
overjoyed 1
pine 1
pity 1
point 1
prince 4
princess 1
quickly 1
realm 1
remote 1
revealed 1
royal 2
rule 1
saltan 3
saltn 1
saving 1
sea 2
sealed 1
shore 1
sisters 1
so 1
son 3
squirrel 1
stings 3
story 1
swan 6
takes 1
the 22
them 1
they 3
third 1
this 2
three 1
thrown 1
time 1
to 8
transformed 1
transforms 1
tsar 4
tsaritsa 1
turns 1
two 1
up 3
visit 1
visited 1
visits 1
war 1
weaver 1
when 1
where 1
which 1
while 2
who 1
whom 2
wife 2
youngest 1
