10896873
/m/02qtc_q
/m/02qtc_q
Dan Simmons
2007
28 1
2nd 1
50 1
a 16
about 1
accidentally 1
across 2
addition 1
after 1
aged 1
all 2
also 1
alternating 1
an 3
and 23
any 2
appears 1
approximately 1
arduous 1
are 9
as 3
at 3
attack 1
attacked 1
attempt 2
attempts 1
avoided 1
back 1
backgrounds 1
band 1
be 1
bear 1
beast 1
becomes 2
been 3
before 1
befriended 1
begins 1
being 1
between 1
blame 1
blamed 1
boats 2
boosting 1
both 1
bound 1
brutal 1
by 12
called 1
camp 1
campa 1
can 1
canadian 1
cannibalism 1
captain 6
carnivale 1
cat 1
caulkers 1
changes 1
chapter 2
chapters 1
characters 1
clear 1
cold 1
colder 1
command 1
commander 1
companion 1
compatriots 1
concludes 1
connected 1
cornelius 3
create 1
creature 1
crew 3
crews 1
cross 1
crozier 7
crushed 1
dangers 1
deadly 1
deal 1
deals 1
death 1
decamp 1
decide 1
decks 1
demise 1
demon 1
describe 1
described 2
describes 2
describing 1
descriptive 1
detail 3
device 1
devoid 1
diary 2
die 1
different 2
directions 1
disaster 1
disease 3
doom 1
doomed 1
double 1
down 1
dr 1
during 1
dwindling 1
each 2
efforts 1
ends 1
entourage 1
entry 1
erebus 2
escape 1
eskimo 4
eve 1
eventually 2
exacerbated 1
existing 1
expedition 8
exploration 1
face 1
fact 1
failure 1
fate 1
feared 1
feelings 1
fictional 1
finds 1
fire 1
fitzjames 3
follow 1
following 1
for 5
force 1
forced 1
four 1
francis 3
franklin 2
frequency 1
frequently 1
friendly 1
friendship 1
from 8
frozen 1
girl 2
goes 2
goodsir 1
goodsirs 1
gravel 1
great 2
grisly 1
groupsall 1
growing 1
had 1
hands 1
harry 1
has 2
haul 1
hauling 1
have 2
he 1
help 1
her 4
here 1
hickey 4
highly 1
hints 1
his 3
hms 4
horrifying 1
horror 1
how 3
however 1
huge 1
hundreds 1
hunted 1
hunters 1
ice 7
illfated 1
impending 1
in 13
including 2
instance 1
intense 1
into 5
irving 2
is 12
island 4
it 2
its 1
james 1
john 2
joins 1
journey 1
kill 1
killed 1
king 4
lady 2
lake 1
landmasses 1
large 1
lashes 1
last 1
later 3
lays 1
leadership 1
literary 1
lover 1
lower 1
lt 1
mainland 1
makes 1
many 2
marine 1
masque 1
massacred 1
mate 1
meet 1
men 4
mens 1
midway 1
miles 2
monster 3
morale 1
move 1
much 1
murder 2
muses 1
mutinous 1
mutiny 2
mysterious 1
mysteriously 1
mystical 1
mythological 1
name 1
named 1
names 1
narrative 4
native 2
natural 1
new 1
normal 1
northnorthwest 1
novel 6
now 1
number 2
of 37
officers 1
often 1
on 11
only 2
opening 1
orders 2
other 1
out 2
outpost 1
over 1
painful 1
parties 1
party 1
past 2
perhaps 1
point 4
points 1
polar 1
population 2
position 1
possibility 1
present 2
provisions 1
punished 1
purpose 1
putrid 1
qualities 1
randomly 1
ranging 1
rather 1
reach 1
refuge 1
removing 1
rescue 1
resembling 1
return 1
revealed 1
revenge 1
ripped 1
river 1
role 1
royal 1
rumblings 1
scared 1
scene 1
sea 3
sealing 1
seaman 1
set 1
setting 1
several 3
ship 1
ships 2
shoot 1
shore 1
short 1
silence 2
simmons 4
sir 2
slave 1
small 1
social 1
sought 1
south 1
southern 1
splitting 1
starvation 2
story 1
subsequent 1
supernatural 1
surgeons 1
survivor 1
survivors 3
switches 1
tale 1
tense 2
tented 1
terror 3
than 2
that 9
the 82
their 2
then 1
there 1
these 1
they 5
this 3
threats 1
three 1
time 1
tinned 1
to 18
tongue 1
too 1
touchingly 1
trapped 1
treatment 1
troubles 1
tuunbaq 4
two 3
until 1
used 1
various 1
venture 1
very 1
view 2
weather 1
what 1
when 1
which 2
who 1
whose 1
wildlife 1
will 1
william 4
with 7
writer 3
year 2
years 2
