2630729
/m/07szg9
/m/07szg9
Charles Hawes
1924
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
17th 1
a 13
able 1
aboard 1
accident 2
acquitted 1
across 1
activities 2
after 4
afterwards 1
again 2
against 4
age 1
ahead 1
allows 1
alone 1
already 1
also 1
although 2
among 1
an 7
anchored 1
and 18
another 1
are 2
arranges 1
arrested 1
as 5
asked 1
asks 1
at 3
attack 1
attempt 3
attempted 1
attempts 1
back 2
band 1
barbados 1
barwick 1
battle 1
be 3
become 1
becomes 2
been 1
behalf 1
behind 1
believing 1
bideford 3
boatswain 2
bold 1
book 1
books 1
bristol 2
british 2
but 3
by 6
called 1
cantry 1
canty 1
captain 4
capture 1
captured 2
causes 1
century 1
certain 1
charges 1
civil 1
claim 1
closest 1
coincidentally 1
colonies 1
commonly 1
companion 1
companions 2
company 1
conclusion 1
control 1
convince 2
country 1
courage 1
court 1
crew 8
cromwell 1
decides 2
declaring 1
defeat 1
defend 1
devon 4
discovers 1
docks 1
during 5
easily 1
emerge 1
encounters 3
end 2
england 3
english 1
entire 1
escape 2
even 1
eventually 1
executed 1
face 1
father 2
fellow 2
find 2
flee 1
fleeing 1
followers 1
foot 1
for 5
forced 1
forces 1
forewarned 1
formed 1
former 1
found 1
freedom 2
friend 1
friendliness 1
friends 1
frigate 2
gain 1
gaining 1
go 1
gobetween 1
gone 1
greatly 1
grounds 1
growing 1
guilty 1
gun 1
hanged 1
has 2
having 1
he 14
heading 1
help 1
her 1
him 8
himself 1
his 16
honor 1
hoping 1
house 1
however 2
if 1
illegal 1
immediate 1
impressed 1
impresses 2
in 7
including 1
indeed 1
informs 1
inheritance 1
initially 1
innocence 1
innocent 1
insists 1
instead 1
into 1
investigate 1
is 17
island 2
it 4
its 1
john 4
join 2
jordan 1
journey 1
journeys 1
just 1
keep 1
kill 1
killed 2
killing 1
known 2
lands 1
last 1
leads 1
leave 1
leaving 1
led 1
left 1
let 1
liking 1
little 1
local 1
london 3
lord 2
lost 1
majority 1
man 1
manages 1
marsham 1
martin 4
mask 1
men 1
more 1
mother 1
murdered 1
nature 1
nearby 3
new 1
newly 1
nineteen 1
none 1
numerous 1
of 24
old 11
oliver 1
on 7
once 3
one 10
only 2
opens 1
opportunity 1
orphaned 1
other 1
out 2
own 1
participant 1
parts 1
passage 1
phil 19
philip 1
pirate 4
pirates 5
position 1
positions 1
promise 1
promoted 1
put 1
quickly 1
raids 1
ranks 1
reach 1
recaptured 1
refuses 1
regaining 1
reluctance 1
replace 1
rescuing 1
rest 2
retaining 1
reveal 1
riches 1
rises 1
rose 7
royalists 1
sailor 2
sailors 1
same 1
sea 1
see 1
seeing 1
seems 1
sees 1
seizing 1
serves 1
service 1
several 2
she 1
ship 6
ships 2
shocked 1
shortly 2
show 1
side 1
sir 4
skills 1
small 2
sold 1
soon 3
speaking 1
spy 1
stand 1
still 1
storm 1
straw 1
stuart 1
surprised 1
survivors 1
swims 1
taken 2
takes 1
taylor 1
tempted 1
testifies 1
testify 1
that 8
the 63
their 1
them 6
there 1
they 6
through 1
thus 1
to 30
tom 2
torture 1
towards 1
town 1
traveling 1
travels 2
trial 3
true 1
two 1
unconvinced 1
under 1
unfortunately 2
until 1
unwilling 1
up 1
upon 1
vast 1
very 1
victorious 1
violent 1
war 2
warship 1
was 4
way 1
weary 1
well 1
were 1
when 6
while 1
who 7
will 3
willingly 2
with 6
without 1
woman 1
works 1
wrecked 1
year 1
years 1
young 1
