4629105
/m/0cdgsg
/m/0cdgsg
Yukio Mishima

100 1
113 1
141 2
145 2
147 1
152 1
167 1
22 1
23 2
36000000 1
50000 1
a 33
about 2
absence 1
advantage 1
affected 1
after 3
ajanta 1
all 2
almost 3
amazement 1
an 3
and 23
another 1
antipyretic 1
antique 1
antirationalism 1
any 1
approach 1
architecture 1
are 5
area 1
arranged 1
arrive 1
arriving 1
article 1
as 6
asleep 1
asserts 1
associated 1
assumes 1
at 17
atmosphere 1
attempt 1
attention 1
ayakura 1
back 2
bangkok 2
bathing 1
be 4
bed 1
before 1
befriends 1
believes 1
benares 1
between 1
bombedout 1
bonus 1
book 1
both 1
bothered 1
boy 1
brother 1
buddhism 1
buddhist 1
buildings 1
burns 1
business 1
but 5
buy 1
by 5
calcutta 1
can 1
cannot 1
caricature 1
cascades 1
case 3
caves 1
chakri 1
chan 12
chantrapa 1
chao 1
chapter 4
clad 1
claims 2
closely 1
communist 1
concludes 1
conclusion 1
confessional 1
confronted 1
constant 1
constitution 1
conversation 1
counsel 1
cousin 1
crassness 1
cremation 1
dashed 1
daughter 1
dawn 1
day 3
decides 1
declared 1
decrepit 1
deeply 1
demands 1
demonstrations 1
description 1
deteriorating 1
dinner 1
disappointment 1
disastrously 1
districts 1
does 1
drugs 1
durga 1
during 2
earned 1
elaborate 1
elaborating 1
eleven 1
embarrassment 1
emblematic 1
emerald 2
emotion 1
encounters 2
end 3
envelope 1
estate 1
evasion 1
even 2
excited 1
fact 1
fails 1
falls 2
fantasies 1
fate 1
father 1
fee 1
feel 1
feels 2
festival 1
festive 1
filed 1
final 1
finally 3
finds 1
first 1
follow 1
food 1
for 8
form 1
former 2
friends 1
from 2
fuji 2
genuine 1
german 1
gesshu 1
get 1
girl 1
gives 3
goes 1
golden 2
gotemba 1
grandson 1
great 2
ground 1
guest 2
guests 2
had 1
has 2
have 1
having 1
he 26
helped 1
her 7
herself 1
him 12
himbeneath 1
himself 1
his 14
hisamatsu 1
hishikawa 1
home 1
honda 22
hope 1
hopes 1
horses 1
hotel 2
house 2
housewarming 1
identify 1
iinuma 2
imanishi 5
immediately 2
imperial 1
impressed 1
impulse 1
in 31
including 1
india 1
indication 1
indifferent 1
inheritance 1
intended 1
into 1
introduced 1
introduces 1
invitee 1
invites 1
involving 1
is 20
isao 4
isolated 1
it 1
its 1
itsui 2
ivmdashboth 1
japan 7
japanese 2
karmatic 1
katsumi 1
keep 1
keiko 4
killed 1
king 1
kito 1
kiyoaki 1
kridsada 1
land 1
last 3
late 1
later 2
lausanne 1
lawsuit 2
lawyer 2
learning 1
learns 1
leaves 1
leaving 1
left 1
legal 1
lets 1
listlessness 1
literally 1
literature 1
logical 1
lost 1
luxurious 1
made 1
mahamayurividyarajni 1
maid 1
main 1
makiko 1
manmad 1
many 2
matsugae 1
may 1
meet 1
meeting 2
mentioning 1
midriff 1
mishima 1
mogulsarai 1
moles 4
money 1
more 2
mount 2
mournful 1
mrs 1
much 2
narrative 1
neighbor 1
nephew 1
new 2
next 1
night 1
ninooka 1
no 3
not 1
november 1
now 2
obsessed 1
obtain 1
ocular 1
of 35
offers 1
on 6
once 1
one 1
only 1
openair 1
or 2
organized 1
other 1
others 1
outside 1
overlooks 1
owned 1
p 1
palace 2
part 2
party 2
pattanadid 2
pays 1
peacock 1
peeks 1
peers 1
perjured 1
philosophy 1
place 1
poetry 1
pomegranate 1
pool 1
postwar 1
prince 2
princes 1
princess 1
products 1
promise 1
proof 1
property 1
pseudoartistic 1
queen 1
question 1
questions 1
rama 3
reaction 1
recognise 1
rediscovered 1
reincarnation 2
relations 1
relatives 1
remind 1
reminds 1
represent 1
represents 1
residential 1
resolution 1
resort 1
result 1
resulted 1
retired 1
return 1
returns 4
ring 2
room 2
rosette 1
runaway 1
sadomasochistic 1
sake 1
same 1
satisfaction 1
satisfies 1
satoko 2
saved 1
scar 1
scenes 2
school 2
schoolfriend 1
second 1
seduce 1
see 4
sees 4
sent 1
september 1
set 2
settle 1
sevenyearold 1
sex 1
she 7
shigekuni 1
shimura 1
shipment 1
shocked 1
shop 1
short 1
shortlived 1
shows 1
shrine 1
siamese 1
side 1
single 1
sleeping 1
slip 1
smoking 1
snow 1
sober 1
some 1
sorry 1
spare 1
specialist 1
spends 1
spoilt 1
spring 1
spying 1
states 1
still 1
student 3
studies 1
study 1
studying 1
sudden 1
suicide 1
suit 1
summer 1
sumptuous 1
survive 1
sutra 2
system 1
tadeshina 3
taken 1
takes 2
talisman 1
tantrum 1
tells 1
temple 2
tendencies 1
thai 1
thailand 3
than 1
that 11
the 68
their 1
they 1
third 1
this 4
three 2
throws 1
tickets 1
time 2
to 36
toin 1
tokyo 2
touring 1
tourists 1
train 1
translator 2
travel 2
travels 1
tries 1
trip 2
tsubakihara 3
turn 1
turned 1
two 3
ugliness 1
uncle 1
under 1
united 1
unpleasantly 1
up 2
uses 3
vi 1
viii 1
villa 3
visit 3
visits 3
voucher 1
voyeuristic 1
waiting 1
war 2
watches 1
went 1
when 3
where 3
which 7
while 3
who 7
whom 1
wisdom 1
with 10
without 1
witnesses 1
won 1
world 2
yasushi 1
year 1
years 1
yen 2
ying 12
young 1
younger 1
