13866407
/m/03clnvx
/m/03clnvx
Ted Dekker
2005-05-17
a 5
ability 3
about 1
adventure 1
alasamm 1
an 1
and 3
as 1
at 1
begins 1
border 1
christianity 1
college 1
could 1
country 1
day 1
days 1
developing 1
does 1
escape 1
explore 1
exponentiates 1
few 1
first 1
flees 1
for 2
futures 1
gift 1
gradually 1
happen 1
has 1
have 1
he 3
her 1
highest 1
his 1
hours 1
into 1
iqs 1
is 2
itself 1
know 1
later 1
life 1
little 1
lives 1
manifests 1
millions 1
miriam 1
multiple 1
of 4
one 2
oppression 1
possibilities 1
possible 1
precognition 1
princess 1
protagonist 1
running 1
saudi 1
seconds 1
see 2
seth 3
skill 1
soon 1
student 1
that 2
the 4
their 1
they 1
this 1
thrown 1
time 1
to 3
together 1
tremendous 1
truth 1
when 1
while 1
who 2
will 1
with 1
world 1
