1762486
/m/05ty5b
/m/05ty5b
Matthew Stover

a 13
after 2
against 2
akk 1
all 2
alone 1
an 1
and 10
apprentice 2
are 2
arrest 1
arrival 1
arrives 1
as 2
at 2
attack 1
attacked 1
away 1
balawai 1
been 3
begin 1
beings 1
between 1
billaba 6
book 2
but 2
by 3
calls 1
can 1
centuries 1
chief 1
chip 1
clone 2
clones 1
coma 1
combat 1
come 1
conflict 1
contact 1
control 1
council 1
course 1
craft 1
cruiser 2
custody 1
dark 2
dead 1
defeat 1
defeats 1
depa 1
deploying 1
destroy 2
discovered 1
droid 4
droids 1
during 1
each 1
end 1
ends 1
enemy 1
eventually 2
extract 1
fallen 1
falls 2
fellow 1
fight 2
followed 1
for 1
force 3
forced 1
forcesensitive 1
form 1
former 3
found 1
from 1
front 1
geptun 2
gone 1
government 1
guards 1
gunships 2
had 2
halleck 3
haruun 4
has 6
he 4
her 3
himself 2
his 4
hologram 1
homeworld 2
hours 1
however 2
immediately 1
immigrant 1
implies 1
in 4
innocent 1
insane 1
inside 1
insystem 1
into 2
is 7
it 1
itself 1
jedi 3
kal 4
kar 1
keep 1
killed 1
killing 1
known 1
knows 1
korunnai 1
landing 1
latter 1
level 1
lightsaber 1
local 1
lorz 2
lost 1
mace 1
majority 1
make 1
many 2
master 2
matter 1
meets 1
message 1
military 1
mouth 1
much 1
native 1
nearby 1
nearly 1
nick 1
not 1
of 10
off 1
on 7
one 1
only 1
onto 1
or 1
order 1
orders 1
other 1
out 2
padawan 1
person 1
personages 1
picked 1
planet 2
planetary 1
police 1
population 2
possibly 1
power 1
put 1
puts 1
raged 1
republic 4
revolution 1
rostu 1
says 1
security 1
sent 4
separatist 1
separatistallied 1
separatists 2
several 1
ship 1
showing 1
side 2
since 1
so 1
soldier 1
soldiers 1
some 1
spilling 1
starfighters 3
start 2
starts 1
station 1
stays 1
stop 1
successful 1
such 1
summertime 1
surface 4
surrender 1
take 1
takes 1
target 1
taught 1
that 4
the 41
them 2
themselves 1
then 1
this 2
time 1
to 17
train 1
trained 1
tribes 2
troopers 2
under 2
untrained 1
upon 1
uses 1
vaapad 1
vastor 3
vegetative 1
voice 1
vulture 1
wants 1
war 1
warring 1
was 3
which 2
while 1
who 2
windu 9
with 2
woman 1
