16838230
/m/0407xfm
/m/0407xfm
Clay Shirky
2008-02-28
{"/m/09s1f": "Business", "/m/02j62": "Economics", "/m/05h83": "Non-fiction"}
34mass 1
3plausible 1
3whose 1
a 8
acceptable 1
achieved 1
action 1
activities 1
advantage 1
advent 1
allow 1
allows 1
also 1
amateurization 2
amateurization34 1
an 4
and 10
anyone 1
are 3
argues 3
around 1
article 1
as 3
away 1
bargain 1
be 2
between 3
blogging 2
book 1
but 1
by 1
call 1
can 2
capable 1
change 1
collaboration 1
communications 1
complex 1
components 1
contradiction 1
conversation 1
cost 1
costs 2
could 1
created 1
creates 1
creation 1
credentials 1
definition 1
different 1
dilemmabecause 1
directing 1
discusses 1
drained 1
effective 1
effort 2
every 1
exists 1
expends 1
expression 1
file 1
flickr 1
for 3
form 2
further 1
fusion 1
gap 1
greater 1
group 3
groups 3
have 1
higher 1
how 1
however 1
in 6
increased 2
individual 1
individuals 1
institution 3
institutional 1
institutions 3
interaction 1
internet 1
interpreted 1
is 3
it 1
its 1
journalism 1
journalist 1
kind 1
larger 1
like 3
lives 1
make 1
manage 1
mass 2
media 1
new 1
news 2
not 1
observes 1
of 12
on 1
online 4
only 1
or 2
outlets 1
photo 1
photographer 1
photography 1
photosharing 1
platforms 2
possibility 1
potential 1
practice 1
press 1
previous 1
previously 1
printing 1
promise 1
publish 1
recipe 1
recounts 1
relies 1
reporter 1
requiring 1
resources 3
restrictions 1
same 1
sharing 1
shirky 7
should 1
social 4
software 1
some 1
someone 1
spread 1
successful 3
such 1
support 1
system 1
take 1
telephone 1
than 1
that 8
the 19
theory 1
there 1
they 1
this 4
those 2
threatens 1
through 1
throughout 1
time 1
to 4
too 1
tool 1
tools 4
twitter 1
use 1
user3 1
value3 1
warns 1
way 3
websites 1
what 2
wikipedia 1
with 2
without 1
wordpress 1
