3385088
/m/098tt1
/m/098tt1
Janet Evanovich
1997-02-14
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 5
accidental 1
across 1
almost 1
an 3
and 5
anything 1
are 1
as 2
aspiring 1
attempts 1
basement 1
become 1
bedemier 1
begins 1
begun 1
beloved 1
bodies 1
bounty 1
burg 2
buried 1
by 4
calls 1
candy 1
carried 1
carrying 1
citizen 1
cleaning 1
concealed 2
constantly 1
cop 2
court 1
criminals 1
date 1
dead 1
dealers 1
detective 1
do 1
doesnt 1
drug 1
dye 1
every 1
family 2
figure 1
first 1
for 2
former 1
four 1
freshoutoftheacademy 1
frustratingly 1
gets 1
has 2
haul 1
he 2
help 2
her 7
his 1
hunter 1
icecream 1
if 1
in 4
including 1
interrupted 1
is 5
jail 1
jersey 1
job 1
joe 1
killing 1
known 1
like 1
look 1
lover 1
lula 1
makes 1
man 1
mcdonald 1
mentor 1
mildmannered 2
mo 6
morelli 2
moses 1
must 1
neighbors 1
never 1
no 1
of 2
on 2
one 1
oneman 1
out 1
overlyexcited 1
parlorcandy 1
predictable 1
ranger 1
refuse 1
relationship 1
residents 1
resume 1
ronald 1
runs 1
she 2
show 1
sidekick 1
since 1
slow 1
so 1
spree 1
stephanie 7
store 2
streets 1
stumbling 1
suspects 1
that 3
the 6
then 2
they 1
ticketed 1
ties 1
to 5
told 1
trail 1
uncle 1
unfortunately 1
up 2
upstanding 1
vice 1
vigilante 1
wants 1
was 1
weapon 2
when 1
who 1
why 1
widely 1
with 2
work 1
would 1
wrong 1
