25888501
/m/09v49mm
/m/09v49mm
Fritz Leiber
1968
{"/m/01hmnh": "Fantasy"}
a 2
across 1
adventure 1
an 1
ancient 1
and 2
another 1
appears 1
as 1
be 1
but 3
by 3
certain 1
city 2
duo 1
encountered 1
enemies 1
explorer 1
fafhrd 1
fallen 1
fantasy 1
find 1
fleets 1
foes 1
follow 1
from 1
gods 1
grain 1
gray 1
have 1
hired 1
in 1
intelligent 1
intervention 1
is 2
its 1
lankhmar 4
larcenous 1
legions 1
likable 1
lives 1
magically 1
mouser 2
mysterious 1
nehwon 1
of 7
out 1
own 1
plans 1
prey 1
protagonists 1
protect 1
prove 1
rat 1
rats 4
returning 1
ridden 1
rogues 1
sea 1
serpent 1
shrunken 1
siege 1
size 1
spies 1
stories 1
swords 1
the 15
their 1
they 1
threat 1
to 5
true 1
two 1
under 1
until 1
victory 1
which 1
whole 1
world 2
