17715417
/m/0479trl
/m/0479trl
Philippa Gregory
2008
{"/m/05hgj": "Novel"}
1603 1
a 4
acknowledged 1
after 3
almost 1
an 1
and 8
any 1
arbella 1
are 1
around 1
arriving 1
as 1
at 1
attachment 1
attempts 2
bankrupt 1
been 1
begins 3
behavior 1
beheading 1
believed 1
believing 1
bess 4
book 1
by 3
captive 1
captivity 1
centers 1
chapter 1
claim 2
claims 1
country 1
cousin 2
crowned 1
custody 1
death 1
during 1
earl 1
elizabeth 5
ends 1
england 2
english 2
escape 1
execute 1
executed 1
expecting 1
expense 1
fade 1
failed 1
feel 1
fellow 1
few 1
fifteen 1
first 1
fled 1
for 3
from 2
george 3
given 1
gowns 1
granddaughter 1
handmedowns 1
hardwicke 1
has 2
have 1
having 1
heir 1
her 9
herself 1
him 1
his 2
house 1
however 2
husband 1
i 1
immediately 1
imprisonment 1
in 6
indignant 1
insulting 1
is 7
it 1
james 1
killed 1
last 1
lost 1
love 1
loyalty 1
makes 2
man 1
marital 1
marrying 1
mary 5
monarch 1
monarchy 1
most 1
narrated 1
never 1
not 1
novel 1
of 11
off 1
one 2
or 1
other 1
participating 1
people 1
place 1
plot 1
previous 2
problems 1
prosperous 1
punishment 1
puts 1
queen 4
recently 1
reckless 1
reigning 1
repeated 1
repeatedly 1
replaced 1
restore 1
result 1
results 1
reveals 1
royalty 1
saying 2
scotland 1
seduce 1
separates 1
several 1
she 6
slowly 1
some 1
stating 1
steal 1
strong 1
stuart 2
support 1
takes 1
talbot 1
tears 1
that 5
the 18
they 1
this 2
throne 3
time 1
to 16
ultimately 1
unafraid 1
upset 1
was 3
watched 1
wealthy 1
wear 1
well 1
when 1
which 1
who 2
wife 1
with 2
would 1
years 3
