7551292
/m/02654rv
/m/02654rv
Tomson Highway


600 1
a 10
about 3
accident 1
activities 1
agonizing 1
all 2
along 1
also 1
and 14
annie 2
another 1
are 4
arrive 1
arrives 1
as 6
at 3
attacks 1
attend 1
audience 2
back 1
before 1
begins 1
between 1
biggest 3
bingo 4
blood 1
born 1
borrowed 1
boys 1
brutal 1
but 3
by 3
cancer 1
cervical 1
children 1
climatic 1
collapsing 1
confirmed 1
consolidated 1
contortions 1
cook 1
cooperatively 1
details 1
dictionary 1
die 1
dies 1
discover 1
discusses 1
disdainfully 1
dissolves 1
diversions 1
drive 1
during 2
dying 1
ecstatic 1
efforts 1
emily 2
emotional 1
encounter 2
end 1
ensue 1
etc 1
exchange 1
exchanging 1
expecting 1
experiencing 1
exposed 1
expresses 1
fear 1
fictional 1
finally 1
first 2
flare 1
flat 1
flurry 1
form 1
fund 1
funds 1
gathered 1
got 1
half 1
has 1
have 1
having 2
hear 1
her 8
here 1
hill 2
how 1
however 1
husbands 1
in 8
indian 1
insecurity 1
into 1
is 9
island 1
it 1
joined 2
jumps 1
just 1
largely 1
learn 1
leave 1
leaving 1
lesbian 1
long 1
longing 1
losing 1
lover 1
lovers 1
mad 1
manitoulin 1
march 1
marieadele 5
master 1
meanwhile 1
money 1
most 1
motorcycle 1
nailing 1
nanabush 4
new 1
news 2
nighthawk 1
no 1
notable 1
of 8
on 6
once 2
ontario 1
opening 1
order 1
other 1
otherwise 1
out 1
own 1
package 1
part 1
patchnose 1
pelajia 1
philomena 3
pick 1
plan 2
play 1
playing 1
plays 2
poop 1
possibility 1
promptly 1
raise 1
rape 1
reaccounts 2
receives 1
remain 1
reserve 3
retelling 1
roof 1
rumors 1
scene 4
screwdriver 1
seagull 1
set 1
seven 1
several 1
shared 1
shares 1
she 3
shingles 1
side 1
sister 2
sisters 2
skeptically 1
slowly 1
soon 2
squabbling 1
stage 1
stolen 1
stop 1
store 2
stories 1
such 1
suffering 1
tempers 1
tensions 1
that 1
the 36
their 3
they 6
things 1
this 5
time 1
tire 1
to 11
toilet 1
toronto 1
treat 1
trip 2
tussling 1
two 1
unchanged 1
up 1
van 1
various 2
verbal 1
veronique 1
wanders 1
wasaychigan 2
watches 1
ways 1
we 2
were 1
when 1
where 2
which 3
while 1
white 1
who 3
whom 1
with 5
witnessing 1
women 7
won 1
world 3
you 1
your 1
zhabooginan 1
zhaboonigan 1
