18609155
/m/04gm0xl
/m/04gm0xl

1983-01-01
{"/m/06n90": "Science Fiction"}
a 2
alien 1
all 1
an 2
and 8
attacked 1
been 2
bridge 1
by 1
captain 1
captured 1
chief 1
chunk 1
clear 1
command 1
conflict 1
conflicts 1
crew 1
crewmembers 1
despite 1
destroys 1
discovery 1
engineer 1
enterprise 2
exactly 1
explosion 2
figure 1
for 1
framed 1
friend 1
from 2
grouping 2
happened 1
has 1
have 1
having 1
him 1
his 5
ignores 1
in 2
injuries 1
injuring 1
investigation 1
is 1
killing 1
kirk 1
klingons 1
leads 1
main 1
meanwhile 1
meet 1
metal 1
montgomery 1
must 1
name 1
of 4
other 1
others 1
out 1
own 1
race 1
races 1
recovering 1
refuses 1
reveres 1
romulans 1
scott 3
severely 1
small 1
soon 1
spine 1
spock 4
take 2
the 11
them 1
three 1
time 1
to 4
tomarii 2
trainee 1
treated 1
urging 1
use 1
war 1
what 1
who 2
with 1
wounds 1
