13074130
/m/02z5hhv
/m/02z5hhv
Alistair MacLean
1980
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 3
alaska 1
an 1
and 8
anonymous 1
antisabotage 1
are 2
arrive 1
arrives 1
as 2
assistance 1
at 1
athabasca 2
avail 1
bay 1
be 2
believe 1
bodies 1
boek 1
brady 3
but 4
by 1
call 1
can 1
canada 1
canadian 1
chapter 1
company 2
damage 1
damaged 1
dedie 1
dermott 2
despite 1
direct 1
disrupted 1
employees 1
enterprises 1
equipment 1
even 1
events 1
exfield 1
expose 1
fall 1
fbi 1
final 1
finally 1
firm 1
further 1
get 1
himself 1
his 2
hlle 1
hunch 1
in 5
initial 1
instigators 1
investigations 1
investigators 1
is 3
jim 2
killed 1
life 1
loss 1
mackenzie 1
main 1
manager 2
managers 1
many 1
men 1
mount 1
murdered 1
mysterious 1
nearly 1
nlathabasca 1
no 1
not 1
nothing 1
novel 1
now 1
nowhere 1
of 7
oil 2
oilfield 1
on 1
one 1
operating 1
operations 4
pipeline 1
play 1
police 1
proved 1
prudhoe 1
pump 1
receives 1
responsible 1
reveals 1
sabotage 1
sands 1
specialists 2
stations 1
superiors 1
suspicions 1
the 12
them 1
then 2
they 2
threat 1
to 3
tough 1
transalaska 1
two 1
up 1
von 1
when 1
with 1
