60171
/m/0gcqp
/m/0gcqp
B. Traven

{"/m/0hfjk": "Western", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
a 7
after 1
alone 1
and 12
are 2
arrives 1
assist 1
attack 1
away 2
bandit 1
bandits 2
be 2
begins 2
bleeding 1
both 1
but 4
by 4
c 1
called 1
can 1
captured 1
chance 1
city 1
confrontation 1
confronted 1
continues 1
crudely 1
curtin 3
desert 1
discover 2
discuss 1
distress 1
do 1
dobbs 4
downandout 1
drifters 2
drives 1
dug 1
dust 1
en 1
end 1
entire 1
executed 1
extracted 1
far 1
federales 3
final 1
financial 1
fred 1
gold 4
greed 1
gringos 1
group 1
gunfight 1
have 1
he 1
hear 1
hinterlands 1
his 2
how 1
howard 3
in 4
into 1
is 6
just 1
killed 1
knowledgeable 1
later 1
laugh 1
leaving 1
local 1
lose 1
lusting 1
lying 1
madre 1
meet 1
mexican 1
mind 1
mine 1
most 1
mountains 1
much 1
nothing 1
of 2
oldtimer 1
on 1
once 1
one 1
out 1
overcome 1
partner 1
paydirt 1
possess 1
pretending 1
proves 1
quickly 1
real 1
reappear 1
remote 1
ride 1
route 1
sand 1
scatter 1
seeking 1
set 1
shot 1
sierra 1
some 1
soon 2
story 1
surviving 1
the 17
their 1
then 2
they 4
thinking 1
third 1
three 2
to 8
toughest 1
train 1
treasure 1
troop 1
trust 1
very 1
villagers 1
when 1
which 1
wins 1
worthless 1
