6474943
/m/0g6p3m
/m/0g6p3m
Susan Hill
1991
114 1
a 29
about 2
adapt 1
adjutant 1
admits 1
advance 1
after 7
aged 1
alive 1
alongside 1
already 1
also 2
amputated 1
and 23
angry 1
another 2
appears 2
are 9
area 1
arguing 1
arrive 1
as 2
assuming 1
at 6
away 1
b 1
back 6
barton 24
batman 3
be 3
because 3
become 2
becomes 1
been 3
before 1
begin 1
begins 2
being 4
beth 2
between 1
billets 2
blames 1
blind 1
bodies 1
body 1
both 1
brief 1
briefly 1
broken 1
buildings 1
but 2
by 8
called 7
camp 1
can 1
casualties 1
causes 1
cellar 3
censored 1
changing 1
chapter 4
character 1
childhood 1
chosen 1
close 1
co 1
colonel 1
come 1
commanding 1
company 1
complaining 1
concern 1
concerned 1
confesses 1
constance 1
constant 1
coulter 2
courage 1
crash 1
crawford 1
crawls 1
david 2
day 1
dead 3
death 2
deaths 1
describing 1
descriptions 1
die 2
difficult 1
dislikes 2
distance 1
doctor 1
down 1
draw 1
drinking 1
drones 1
due 2
duration 1
during 2
each 2
emotion 1
end 1
ends 2
enemy 1
england 4
enough 1
erodes 1
especially 1
every 1
experiences 2
exposes 1
expressionless 1
extremely 1
faces 2
falls 1
family 1
father 1
feel 1
feels 3
fetch 1
feuvry 2
few 1
fighting 1
final 1
finds 2
first 1
flare 1
for 4
forced 2
france 1
franklin 1
friends 2
from 8
front 5
garrett 1
generals 1
german 2
germans 1
gets 2
getting 1
go 1
goes 2
going 1
great 1
greatly 3
grosse 1
group 3
guilty 1
had 1
happy 1
hard 1
hardened 1
harris 4
has 7
have 3
he 27
henry 1
hide 1
hilliard 12
him 5
himself 1
his 12
hole 1
home 7
horror 1
horses 1
hospital 1
how 1
ill 1
in 17
inconclusive 1
inform 1
informed 2
injured 1
intact 1
is 24
it 3
john 5
journey 1
killed 4
killing 1
knew 1
knows 2
land 1
lawyer 1
lead 1
leave 1
leaving 1
left 2
leg 1
letter 7
letters 1
life 1
line 3
lines 1
little 1
lives 1
long 1
lose 1
man 1
manages 1
many 2
map 1
marry 1
may 1
meet 1
memories 1
men 3
midway 1
military 3
missing 1
mission 1
missions 1
most 1
mother 1
new 6
news 2
nightfall 1
no 1
not 5
novel 5
numbers 1
occupied 1
of 20
officer 2
officers 1
old 1
on 3
once 1
one 3
opening 1
other 1
others 1
out 2
over 1
pages 1
parents 2
parkin 1
part 1
partington 1
period 1
place 3
placed 1
plane 1
platoon 1
position 1
positions 1
presumed 1
previously 1
private 2
protagonist 1
quantities 1
ration 1
realise 1
received 1
reconnaissance 2
recovering 1
recruit 1
remote 1
replaced 1
requires 1
rest 1
retreat 1
return 2
returning 1
returns 2
room 1
round 1
rum 1
runner 1
safe 1
see 1
seen 1
sees 1
sent 1
several 2
sheer 1
shell 2
shelled 1
shelling 1
shocks 1
short 1
sick 1
sister 3
sleeping 1
sniper 1
so 2
soldier 3
soldiers 1
some 2
soon 1
speaks 1
spy 1
states 3
stating 1
still 1
stresses 1
surrounding 1
survive 1
taken 1
talk 2
talked 1
tell 1
terrible 1
terror 1
that 21
the 61
their 2
there 1
they 9
thinks 1
this 4
those 2
through 1
throughout 1
time 2
to 34
too 1
top 1
town 1
track 1
travelling 1
trench 1
trenches 2
trouble 1
truth 1
two 1
unable 1
unlikely 1
unstable 1
untouched 1
up 1
used 1
visits 1
wait 1
walks 1
wants 1
war 7
was 1
waste 1
we 1
what 1
when 3
where 1
which 4
while 2
whisky 1
who 3
whom 2
will 3
with 10
witnesses 1
witnessing 1
wont 1
worried 1
would 1
wound 1
wreckage 1
writes 2
yet 2
