1949735
/m/0689q5
/m/0689q5
Rosemary Sutcliff
1954
{"/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/0hwxm": "Historical novel"}
a 9
able 1
about 1
and 3
annihilated 1
aquila 1
around 1
as 2
back 1
battle 1
be 1
because 1
beyond 1
bring 1
britain 1
bronze 1
but 1
by 2
can 1
danger 1
dashed 1
defeat 1
demoralised 1
disappearance 1
discharged 1
discover 1
disgrace 1
disguised 1
eagle 2
esca 1
exslave 1
father 2
finds 1
flavius 1
freed 1
frontier 1
great 1
greek 1
hadrian 1
he 1
heroic 1
his 2
hope 1
in 2
including 1
is 2
it 1
last 1
legion 4
longer 2
lost 1
marcus 4
mutinous 1
ninth 1
no 2
northern 2
oculist 1
of 5
officer 1
part 1
redeemed 1
reestablished 1
remnant 1
rising 1
roman 2
security 1
seeing 1
serve 1
small 1
so 1
stand 1
standard 1
symbol 1
that 2
the 7
this 1
through 1
thus 1
to 3
travelling 1
tribes 1
tries 1
truth 1
wall 1
was 2
will 1
with 1
wound 1
young 1
