12947669
/m/02z10hw
/m/02z10hw
Michael Connelly
2002-04-16
12year 1
20 2
a 12
about 1
after 2
an 1
and 9
angeles 1
are 1
as 1
at 2
back 2
been 3
blurred 1
body 1
bone 2
bones 1
bosch 6
both 1
boy 2
brasher 1
brings 1
buried 1
calls 1
cant 1
canyon 1
case 3
cases 1
chase 1
child 1
childhood 1
clue 1
colleague 1
complications 1
containing 1
crime 1
dark 1
dating 1
day 1
department 1
details 1
dig 1
digs 1
disappearance 1
disappearances 1
discovered 1
doctor 1
does 1
dog 1
dogs 1
down 1
during 1
earlier 1
edgar 1
even 1
fall 1
far 2
female 1
for 1
found 1
from 2
fumbling 1
further 2
go 2
grave 1
harry 1
has 5
have 1
he 2
hieronymus 1
his 2
house 1
human 1
in 5
inside 1
investigating 1
investigation 2
involving 1
is 2
it 1
jerry 1
joins 1
julia 1
laurel 1
leads 2
let 1
los 1
lot 1
matter 1
memories 1
murder 1
named 1
near 1
new 1
not 1
of 7
old 1
on 3
once 1
only 1
order 1
out 1
outside 2
own 1
owner 1
police 1
possible 1
recognizes 1
records 1
remembered 1
rookie 2
runaways 1
same 1
search 1
shallow 1
skateboard 1
solve 2
starts 1
suspect 1
suspects 1
takes 1
that 3
the 19
this 1
though 1
through 1
time 3
to 10
together 1
try 1
turns 1
up 1
warned 1
with 1
witnesses 1
years 3
