4616767
/m/0ccw3w
/m/0ccw3w
Tracy Hickman
1984-11
a 17
according 1
acting 1
after 2
along 1
an 4
ancient 1
and 18
angrily 1
ansalon 1
appears 1
archmage 1
are 11
armies 1
army 1
arrive 1
as 3
at 2
attack 1
attacked 2
back 1
backs 1
battle 1
be 2
bears 1
beautiful 1
becomes 1
been 1
begins 1
being 1
belonging 1
blessed 1
blue 3
book 2
bravely 1
break 1
breaks 1
brother 1
bupu 2
but 4
by 11
called 2
captured 1
caramon 2
caravan 1
celebration 1
centaur 1
chained 1
charged 1
child 1
childhood 1
city 1
cleric 1
clerical 1
collaborating 1
companions 14
confronted 1
conquest 1
consisting 1
consumed 1
containing 1
continent 1
control 1
converts 1
convinces 1
creatures 2
crush 1
crystal 3
cut 1
darkness 1
day 1
dead 1
desperate 1
devise 1
diminutive 1
discover 2
discovers 1
disks 3
down 1
draconians 1
dragon 6
driven 1
dwarves 2
dying 1
elf 1
elistan 1
elven 3
ember 2
encounters 1
enter 1
eve 1
everman 1
exceptionally 1
extent 1
faith 3
fighting 1
figure 1
find 2
first 2
fistandantilus 1
five 1
flame 1
flamestrike 1
flee 2
flees 1
flint 1
followed 1
following 1
follows 1
foot 2
for 4
forced 1
forces 2
formerly 1
free 3
freed 1
freeing 1
friends 1
from 1
gilthanas 2
gives 1
go 1
goddess 1
gods 3
goldmoon 5
great 1
group 4
gully 1
had 1
half 1
happens 1
has 2
he 3
healing 1
heals 2
heart 1
help 1
her 6
hickman 1
highlord 4
highlords 2
him 3
his 2
holy 1
however 1
in 9
infiltrate 1
insane 1
instrumental 1
into 1
is 10
it 1
its 1
journey 1
kanan 1
khisanth 1
killed 1
kills 1
king 1
kitiara 2
later 2
laurana 6
lead 1
leader 1
leads 1
leave 1
lengthy 1
like 1
local 1
love 2
marry 1
matar 1
meet 1
meeting 1
mishakal 4
more 1
mysterious 2
named 1
nation 1
next 1
note 1
now 2
object 1
occupied 1
of 29
on 3
one 1
only 1
order 1
over 2
own 1
paladine 1
passage 1
pax 3
pegasi 1
plainswoman 1
plan 1
pledged 1
porthios 1
power 1
powers 1
preparing 1
presumed 1
princess 1
prove 1
proves 1
pub 1
pursue 1
qualinesti 2
quests 1
raistlin 3
rebukes 1
red 2
regroup 1
religious 1
reptilian 1
rescued 1
resolves 1
resting 1
restoration 2
retrieve 1
return 3
reunion 1
reunited 1
revolt 1
ruined 1
same 1
searching 1
secret 1
secretly 1
seeker 2
seekers 2
sent 1
separated 1
series 1
serve 1
several 1
she 1
sister 1
slave 1
slavemine 1
slaves 4
soldiers 1
solostaran 1
some 1
son 1
soon 1
spellbook 1
spoiled 1
spotted 1
staff 4
statue 1
still 1
stupid 1
sturm 1
supposed 1
sweetheart 1
taken 1
tanis 6
tasslehoff 1
teaching 1
telling 1
than 1
tharkas 3
that 5
the 78
their 2
them 2
theme 1
there 1
they 7
this 2
through 1
to 26
tracy 1
trip 1
true 4
truth 1
try 1
tsaroth 2
turns 1
twins 1
undead 1
underground 1
uth 1
verminaard 2
village 3
wants 1
was 1
well 1
when 4
where 3
which 1
while 1
who 3
will 1
win 1
with 10
woods 1
worth 1
xak 2
years 1
