13354073
/m/03c2n3s
/m/03c2n3s
George Pelecanos
2001-02
african 1
american 1
and 2
as 4
becomes 1
blameless 1
both 1
case 1
cases 1
caucasian 1
characterised 1
chris 1
clear 1
conscience 1
dc 1
death 1
department 1
derek 1
desperate 1
determined 1
discharge 1
excop 1
focuses 1
follows 1
from 1
he 2
high 1
himself 1
his 1
in 2
internal 1
investigate 1
investigation 2
investigators 1
involved 1
is 3
led 1
main 1
motivated 1
novel 1
of 3
officers 1
on 2
police 3
private 1
profile 1
quinn 6
racially 1
rain 1
right 1
several 1
shooting 4
shot 1
strange 3
terry 1
that 2
the 8
to 3
was 4
washington 1
were 1
while 1
who 1
wilson 4
works 1
