159941
/m/0153k6
/m/0153k6
Leo Tolstoy
1877
{"/m/05hgj": "Novel"}
1 1
121 1
3235 1
a 64
abandoning 1
ability 1
able 1
about 10
above 1
abroad 1
accept 1
acceptable 1
accident 1
accidental 1
accidentally 1
accompanies 1
accompany 1
accuses 1
act 1
acted 1
acts 1
addition 1
admits 1
adopted 1
adultery 1
advises 2
affair 7
affairs 2
affairwith 1
affected 1
after 5
against 2
agitated 1
agricultural 2
agriculture 1
aim 1
alexandrovich 1
alexandrovna 2
alexei 2
all 2
alone 2
also 6
although 5
altruistic 1
amorous 1
amount 1
amuse 1
amusement 1
an 14
and 103
anger 1
anna 61
annie 3
anxious 2
any 1
anyone 1
apparently 1
are 9
argue 2
aristocrat 1
aristocratic 1
aristocraticyetsimple 1
arkadyevitch 1
arkadyevna 1
army 1
arranges 1
arrives 1
art 2
artist 1
as 19
asking 2
asks 2
assumes 1
at 18
attachment 1
attempt 1
attempts 2
attend 1
attends 1
attention 2
attentions 2
attract 2
avoid 1
away 2
baby 2
bachelor 1
back 1
ball 2
bar 1
barred 1
be 7
bear 2
beautiful 1
beauty 1
because 2
become 3
becomes 8
becoming 1
bedside 1
been 3
begins 3
begs 1
begun 1
behaviour 4
being 3
beliefs 1
believe 2
believed 1
believes 2
believing 2
best 1
betrayed 1
betrothal 1
betsy 2
between 4
birth 2
birthday 1
bitter 2
bitterness 1
book 1
bored 1
boredom 1
both 1
break 1
breaks 1
bring 2
broken 1
brother 2
building 1
bumps 1
but 10
by 25
can 3
cannot 8
capable 1
cares 1
carriage 2
cause 1
chance 1
change 1
changes 1
charge 1
child 1
childhood 1
children 2
chooses 1
choosing 1
christian 1
circle 1
city 1
civil 1
clairvoyant 2
class 1
classes 1
clear 1
closely 1
club 1
clumsily 1
come 1
comes 3
comforted 1
coming 1
commendation 1
commits 1
company 1
complete 1
concerned 2
conclusion 1
confess 1
confessed 1
confesses 2
confinement 1
confusion 2
consider 1
considerable 1
consult 1
consults 1
consumption 1
contain 1
contemplates 1
continue 2
continues 2
conversation 1
convince 1
convinced 2
convincing 1
corrupting 1
could 2
count 1
countess 2
country 6
countryside 1
couple 4
cousin 1
credible 1
criticising 1
criticism 1
critics 1
crushed 1
cryptic 1
culture 2
custody 1
dance 1
dances 1
darya 1
daughter 2
days 2
dead 1
death 1
debutante 1
decide 1
decides 2
decisions 1
decline 1
deems 1
deeply 1
deliberate 1
depart 1
dependent 1
desired 1
desperate 2
despite 3
deuteronomy 1
devastated 1
develops 1
devotion 1
did 1
difference 1
difficult 3
discovered 3
discovers 1
disillusioned 1
displeased 1
dissatisfied 1
distant 1
distress 3
divided 1
divorce 7
dmitri 1
dmitrievich 1
doctors 1
does 3
dolly 17
down 1
dresses 1
drive 1
during 6
dwells 1
dying 2
each 1
easily 1
effect 1
eight 1
eighteen 1
either 1
elections 1
elope 1
embarrassed 1
embarrassing 1
emotion 1
emotional 3
emotionally 1
empty 1
encounter 1
end 1
english 1
enthusiast 1
entirely 1
epigraph 1
escape 1
estate 10
europe 3
evades 1
even 2
evening 1
event 1
eventually 3
evil 1
excellent 1
excluded 1
excursions 1
expected 1
expects 1
expensive 1
explain 2
extravagant 1
extreme 1
extremely 2
failing 1
fallen 1
falling 1
falls 2
false 1
falseness 2
family 4
farm 1
fashionable 3
fastpaced 1
father 1
fear 1
feel 1
feelings 1
feels 3
fight 1
finally 1
find 3
finds 3
first 5
flirtations 2
flirts 1
for 18
forces 1
forget 1
forgive 1
forgiveness 1
forgives 1
former 2
freely 2
french 1
friend 2
friends 3
frivolous 1
from 12
front 1
froufrou 1
further 1
genius 1
gentleman 1
german 1
gets 2
girl 1
give 1
gives 2
go 3
goes 1
goodness 2
gossip 2
governed 1
governessand 1
government 1
grant 1
great 1
group 1
grows 1
guilty 2
habit 1
had 5
hand 1
happened 1
happiness 1
happy 2
hard 1
has 15
have 2
having 1
he 34
health 3
hearing 1
hears 1
heartbroken 1
help 2
helpless 1
her 62
herself 3
hide 1
high 1
him 18
himself 5
his 45
home 3
hope 1
horrified 1
horseman 1
hospital 1
hotels 1
house 2
household 1
how 1
however 6
humiliated 1
hurt 1
husband 4
i 1
idea 1
ideas 2
if 2
ignored 1
ill 1
image 1
immediately 1
improper 1
impropriety 1
improve 1
in 49
including 1
increasing 2
increasingly 3
indeed 1
infatuated 2
infidelity 2
infinitely 1
influenced 1
initially 3
inner 1
innocent 1
insisting 1
insufficient 1
intensely 1
intention 1
interactions 1
interpreted 1
interprets 1
into 2
introducing 1
invasion 1
irrational 1
is 60
it 8
its 2
ivanovna 2
jealous 3
jealousy 1
joins 1
journey 2
just 2
justifiable 1
karenin 22
karenina 1
katerina 1
keen 1
keep 2
key 1
killed 1
kirillovich 1
kitty 36
konstantin 1
kostya 1
labour 1
labourer 1
lacks 1
land 2
landowner 1
large 1
later 2
latest 1
lavish 1
lawyer 2
learns 2
least 1
leave 4
leaves 3
leaving 4
length 1
letters 1
levin 33
levins 2
lidia 2
life 6
lightning 1
like 1
lines 1
live 2
living 4
long 1
longer 1
love 9
loves 4
loving 1
luxurious 1
madame 1
magnanimity 1
make 1
makes 5
man 4
manner 1
many 1
mare 1
marriage 5
married 1
marry 4
marrying 1
match 1
matchmaker 1
mdash 4
meaningfully 1
meanwhile 7
meet 5
meeting 1
members 1
mental 1
merely 1
message 1
midst 1
might 1
migr 1
military 1
mine 1
mitya 1
months 1
more 2
morphine 1
moscow 7
most 1
mother 5
move 2
moved 2
movement 1
much 3
must 2
mystic 1
native 1
nearby 2
negative 1
never 1
new 5
newborn 1
nicknamed 1
nikolai 3
ninth 1
no 2
nonchristian 1
nonexistent 1
normally 1
not 5
notices 1
novel 3
now 2
nursing 1
oblonsky 1
obtaining 1
occupying 1
occurs 1
of 52
off 2
offer 1
offers 1
officer 1
official 1
old 1
omen 1
on 13
once 2
oncoming 1
one 4
only 2
openly 3
opens 1
or 2
order 1
oriented 1
orphaned 1
orthodox 1
other 3
others 1
out 1
outside 1
over 4
overcome 2
overnight 1
overt 1
overtly 1
own 3
pace 1
painting 1
panslavic 1
parallel 1
part 2
partner 1
parts 1
party 3
passion 1
passionate 1
path 1
patroness 1
patronize 1
pay 1
paying 2
pays 1
peasant 3
perceives 1
period 1
persists 1
personality 3
petersburg 8
physical 1
pietist 1
pious 1
place 1
plans 2
plot 1
position 2
possibility 1
post 2
posting 1
pregnant 3
present 2
preserved 1
pretentious 1
prevent 1
prince 1
princess 4
productive 1
profoundly 1
proof 1
propose 1
proposes 1
proposing 1
proves 1
provincial 1
public 2
pursue 1
pursued 1
puts 1
quickly 1
quite 1
quoted 1
quoting 1
races 1
railway 3
reaction 1
readers 1
realise 1
realises 2
realising 1
realizes 1
really 1
reason 1
reasons 1
recommended 1
reconciled 1
reconciliation 1
recover 2
recovers 1
referring 1
reforms 1
refusal 1
refuses 3
regain 1
regarded 1
reject 1
rejection 2
relating 1
relationship 4
religions 1
religious 1
remains 1
remarks 1
remarrying 1
reminds 2
repay 1
repulsive 1
request 2
requested 1
require 1
required 1
resolves 1
response 1
restless 2
results 1
return 1
returns 4
reunite 1
reunited 1
revelation 1
revolt 1
rich 1
ridding 1
rides 1
righteously 1
righteousness 1
romans 1
row 1
ruin 1
russia 4
russian 5
russians 1
safety 1
saint 8
saintly 1
same 3
saying 1
scene 3
scherbatskaya 1
scherbatskys 1
season 1
see 2
seeing 3
seek 1
seem 1
sees 1
selling 1
sends 1
senior 1
separate 2
serbian 1
sergei 1
servant 1
seryozha 7
setting 1
several 1
shaken 1
shcherbatskaya 1
shcherbatskys 1
she 38
shocked 1
shooting 1
short 1
should 2
show 2
shy 1
sight 1
sighting 1
similar 1
simple 1
since 2
sister 3
situation 1
sleep 2
snubbed 1
so 3
social 1
socialite 1
socialize 1
society 8
some 2
son 5
source 1
spa 2
speaking 1
speaks 1
specialist 1
speeches 1
spell 1
spend 3
spending 1
spiritual 1
stahl 1
standing 1
start 1
starts 3
state 1
station 1
stay 2
steeplechase 1
stepan 1
still 2
stills 1
stiva 17
storm 1
story 1
strain 1
stressful 1
struck 2
struggle 1
struggles 1
subject 1
succumbs 2
suffering 1
suffocated 1
suicidal 1
suicide 3
suites 1
summer 1
suppress 1
suspects 1
suspicion 1
take 3
takes 3
talent 1
talk 1
talked 1
talks 1
tashkent 1
telegram 1
tell 2
tells 1
than 1
that 43
the 89
theatre 3
their 8
them 2
themselves 2
then 2
there 2
they 4
think 1
this 4
thought 1
thoughts 1
threatens 1
three 1
throwing 1
tied 1
time 6
tiny 1
to 111
together 1
too 2
tormented 1
torments 1
toward 1
towards 2
train 3
transformation 1
travel 1
