3603617
/m/09p9ww
/m/09p9ww
Nancy Holder
2004-07
a 2
ages 1
an 1
ancient 2
and 4
angel 1
angeles 1
as 1
attempting 1
battle 1
before 1
body 3
both 1
buffy 1
by 1
centuries 1
china 1
day 1
devil 1
dimension 1
dragon 1
drive 1
emperor 1
evil 1
fast 1
first 1
forced 1
from 2
frozen 1
he 1
him 1
his 1
hot 1
humans 1
ice 1
immortal 1
in 3
is 2
its 1
jump 1
los 1
loses 1
of 3
once 1
out 1
possessor 2
present 1
qin 3
rendering 1
resurrecting 1
same 1
sunnydale 1
temperature 1
the 4
through 1
to 3
usher 1
was 1
who 1
year 1
