3349248
/m/09735n
/m/09735n
Piers Anthony
1967
400 1
a 26
abandoning 3
able 1
accepts 1
achieved 1
across 1
actually 1
affects 1
after 3
against 1
agent 1
agents 2
agonising 1
agrees 1
all 3
allow 1
allows 2
almost 1
alone 1
also 1
an 6
and 43
anger 1
another 1
appropriate 1
are 8
around 1
as 6
aspect 2
aton 40
attempt 2
attempting 1
attempts 2
attracted 1
aurelius 2
away 1
back 3
be 4
beautiful 2
beauty 1
become 1
bedside 7
been 8
bethrothed 1
betrothal 1
betrothed 2
between 2
beyond 1
blinding 1
bring 1
brought 1
build 1
but 9
by 9
called 2
can 4
cannot 1
care 1
cared 2
caring 1
cause 1
caverns 2
caves 1
ceases 1
chill 4
chimera 2
chose 1
chthon 17
claims 1
close 1
comes 1
compassion 1
complex 1
conceived 1
conflict 1
confronts 2
considers 1
continue 1
coquina 11
could 1
crime 1
criminals 3
culture 1
curing 1
cuts 1
dangerous 4
daughter 1
death 3
deemed 2
delights 1
despondent 1
destruction 1
develops 1
devoured 1
different 1
disguised 1
does 1
draw 1
dying 1
each 1
effect 1
effort 1
emotions 4
encounters 1
entire 1
escape 5
escaped 1
escaping 1
eternally 1
evil 2
expected 1
experiencing 1
extremely 1
failed 1
fall 1
fallen 1
families 1
family 4
farm 2
farmer 1
farming 1
fashioned 1
father 6
fear 1
feelings 1
fellow 1
female 1
few 1
filled 1
final 2
finally 2
find 2
finding 1
finds 3
five 2
flee 1
followed 1
following 2
food 2
for 14
forced 1
forcing 1
forest 1
form 1
formed 1
fortunes 1
from 5
frustrated 1
further 1
futility 1
galaxy 2
garnet 2
garnets 3
girl 1
given 1
goads 1
goes 2
had 6
half 1
hard 1
has 5
hatred 1
have 6
having 1
he 19
heavy 1
her 15
herself 2
him 10
himself 4
his 24
home 1
houses 1
however 1
human 1
humanity 1
humans 1
hvee 7
identical 1
if 1
ignoring 1
immediately 1
impossible 1
imprisoned 2
in 23
inflaming 1
inmate 1
inmates 5
insists 2
instil 1
intellect 1
intelligence 1
intense 1
interest 1
internal 1
interstellar 1
into 4
inverted 1
is 26
its 3
itself 1
killed 1
kills 3
known 1
labyrinthine 1
learn 1
learns 1
leave 1
leaves 1
led 1
left 1
legendary 1
less 1
level 10
life 2
live 1
love 7
lower 4
madmen 1
madness 1
maintained 1
make 1
makes 1
malady 1
malice 15
man 2
manipulates 1
mankind 2
many 1
marry 2
meanwhile 1
meets 2
memories 1
message 1
mind 1
mine 1
mined 1
mines 1
minion 6
minionette 4
minionettes 1
misery 1
mixed 1
monster 1
most 1
mother 2
mucus 1
murder 1
named 2
nature 3
natures 1
needs 1
negative 2
normal 1
not 2
novel 1
now 2
obsession 3
of 27
off 2
offer 1
on 8
once 2
one 2
only 5
other 3
out 1
outburst 1
over 1
overcome 1
pain 2
pair 1
peacably 1
person 1
perverse 1
planet 5
planets 3
planning 1
population 3
positive 1
possible 1
powerful 2
previous 1
prison 2
promises 3
protagonist 1
push 2
put 1
rather 1
reaching 1
real 1
realise 2
realises 4
reality 1
reasons 1
recently 1
recognise 1
recognises 1
regular 1
releases 1
remain 2
repairs 1
repulsed 1
requires 1
reserved 1
restore 1
retaliation 1
retreat 1
return 2
returns 3
reunion 1
revolt 1
rid 1
romance 1
rumours 1
sacrifice 1
sacrificing 1
sadness 1
salvation 1
sanity 1
sapping 1
save 3
sealed 1
search 2
searching 1
secretly 1
secure 1
sedation 1
seek 1
semitelepathic 2
sends 1
sent 1
sentence 1
servants 1
service 2
set 2
settled 1
shame 1
she 5
short 1
side 1
since 3
sinks 1
siren 1
skewed 1
slave 1
slavery 1
so 6
solace 1
son 1
starts 1
stop 1
stops 1
strange 2
strength 1
stretch 1
struck 1
successful 1
succumb 1
such 2
sufficiently 1
suggests 1
superior 1
supplies 1
suppressing 1
surface 1
survive 1
survivors 1
sweeping 1
symptoms 1
taking 1
tells 1
tend 1
terms 2
than 1
that 22
the 62
their 3
them 2
then 1
there 1
they 3
this 7
throats 1
through 2
time 1
times 1
to 46
too 2
towards 1
trade 1
travel 1
travels 1
truth 1
trying 1
tunnels 1
unable 1
uncharted 1
under 1
underground 2
unintended 1
unknown 1
unless 1
unlikely 1
unseen 1
until 2
up 2
upper 6
view 1
violent 1
vision 1
wake 1
warning 1
was 7
waves 1
were 1
when 3
where 3
whereas 1
which 3
while 1
who 1
whole 1
wholly 1
why 2
wife 1
will 2
willing 2
willingly 1
with 3
within 1
woman 1
worked 1
would 1
years 1
youth 1
zombies 2
zombification 1
