370284
/m/020crd
/m/020crd
James Fenimore Cooper
1826-02
{"/m/0hwxm": "Historical novel"}
2000 1
a 33
about 1
accedes 1
according 1
account 1
across 1
act 1
action 2
after 7
afterlife 1
again 1
against 3
agreed 1
agrees 2
alice 12
all 1
allied 2
allies 2
allow 2
allowed 1
also 4
ambush 1
an 3
and 75
announces 2
another 1
are 8
army 1
around 1
arrival 1
arrives 1
as 18
asked 1
asks 2
assistance 1
at 5
attacks 1
attempt 1
attempts 1
away 2
back 3
battle 4
be 2
bear 3
bearing 1
bearskin 1
beat 1
beavers 1
become 1
been 4
before 3
begins 1
begs 2
behind 1
being 1
believe 1
believing 1
belonging 1
between 1
both 3
bound 1
bounding 1
breaks 1
brief 1
briefly 1
british 2
brought 1
bumppo 1
but 13
by 14
called 1
came 1
can 1
cannot 1
canoe 1
canoes 1
captive 1
captives 4
capture 3
captured 2
captures 1
carabine 3
carries 1
cause 1
caused 1
cave 6
cavern 1
chaos 1
chase 3
chest 1
chief 2
chiefs 1
children 1
chingachgook 5
claim 1
claims 2
cliff 1
cloth 1
clothing 1
colonel 6
column 2
come 2
commanding 1
companions 2
concludes 1
confront 1
continued 1
convince 1
convincing 1
cora 22
council 2
course 1
court 1
cunning 1
custom 1
daughters 1
david 5
day 1
days 1
death 2
deception 1
decide 1
decided 1
defeated 1
delaware 9
delawares 2
delay 1
deliver 1
demands 4
deranged 1
did 2
different 1
discover 1
discovering 1
disguise 2
disguised 1
disguises 1
disorder 1
distance 1
does 3
dons 1
down 1
dresses 1
drink 1
drop 1
drunken 1
duncan 1
during 2
eager 1
earth 1
edward 2
either 1
elk 1
encounter 1
english 1
enraging 1
enter 2
entered 1
enters 1
equip 1
escape 1
escaped 2
escapes 2
events 1
eventually 1
everything 1
evil 1
except 1
exchange 1
exited 1
expel 1
explaining 1
falls 3
feet 1
fierce 1
fight 1
fighting 1
final 1
find 2
finding 1
finds 2
fire 1
firewater 2
first 1
flatly 1
flee 2
follow 1
following 1
follows 2
for 8
forced 1
foresees 1
forest 1
former 1
fort 9
fox 1
free 2
frees 1
french 8
friends 2
friendship 1
from 6
funerals 1
further 2
gagged 1
gamut 12
general 3
george 1
give 1
gives 1
glens 1
go 1
gone 2
grants 1
great 1
group 4
guards 2
guise 1
had 4
harm 1
has 8
have 2
having 1
hawkeye 28
he 17
head 1
heal 1
hear 1
heavy 1
henry 5
her 6
heritage 1
heritagethe 1
herself 1
heyward 21
hide 1
hiding 1
him 13
himself 4
his 25
hostages 1
hunt 1
hunting 1
huron 11
hurons 18
identifying 1
in 22
indian 1
infamous 1
initially 1
instead 2
intending 1
intense 1
intention 1
interrogate 1
into 7
introduced 1
invites 1
is 21
issue 1
it 2
judgement 1
just 1
keep 2
kill 3
killed 2
killer 1
knowing 1
known 2
la 3
lake 1
late 1
later 1
le 1
lead 2
leader 1
leads 2
learns 2
leave 1
leaves 1
led 3
ledge 1
left 1
lenape 3
lengthy 1
lenni 3
letter 2
lieutenant 1
long 1
longue 3
losses 1
lost 1
love 1
madman 1
magic 1
magua 24
major 2
make 1
makes 1
man 5
march 1
marry 1
massacre 1
masters 1
match 1
medicine 3
men 1
military 1
mind 1
mineral 1
misbeavior 1
mistaking 1
mixed 1
mohawks 1
mohican 1
mohicans 4
montcalm 2
moose 1
more 2
morning 1
most 1
mountain 1
move 1
munro 17
natives 1
natty 1
nearby 3
new 2
next 2
nickname 1
not 8
nothing 1
notice 1
novel 1
now 1
of 27
off 2
offends 1
offer 1
offers 2
officers 1
on 5
once 2
one 7
or 2
ordered 1
ordering 1
organised 1
other 2
others 2
out 3
outshoots 1
outside 2
pair 1
palefaces 1
parley 2
parties 1
party 2
pass 2
path 1
pay 1
people 1
perform 1
permission 1
permitting 1
physically 1
place 1
plan 1
point 1
post 1
precipitous 1
preparation 1
prepare 1
prisoner 1
prisoners 4
psalms 1
pursue 1
pursuit 1
put 1
question 1
quickly 1
racethen 1
reaching 1
reaffirm 1
realize 2
realizing 1
recognise 1
recognize 1
reconsider 1
redmen 1
referred 1
referring 1
refused 1
refuses 2
reinforcements 4
releasing 1
reluctantly 2
remains 2
renard 1
renews 1
reply 1
request 1
rescue 7
rescued 2
resolve 1
rest 1
result 1
retreat 1
return 5
returns 3
reunited 1
reveals 1
revenge 2
rifle 1
rifles 1
rocky 1
ruins 1
safety 1
sage 2
same 1
saw 1
scout 1
secretly 1
seek 1
seeking 1
send 1
sends 1
sent 2
set 3
shaman 1
shamen 1
she 3
shooting 1
shoots 1
shore 1
short 1
shows 1
sick 1
side 2
silent 1
since 2
sing 3
singing 1
sister 1
sisters 1
skin 2
smoothbore 1
so 3
soldiers 1
some 1
somewhat 1
son 1
soon 1
spare 1
speak 1
spirit 1
spiritually 1
split 1
spurning 1
start 1
stays 1
steals 1
still 1
stop 1
stops 1
story 1
stream 2
struggle 1
subsequently 1
subtil 1
successful 1
suit 1
summoned 1
surprise 1
surrounded 1
take 4
taken 1
takes 1
taking 1
tamenund 5
tattoo 1
teacher 1
teaching 1
tear 1
tells 6
terms 1
than 1
that 14
the 124
their 8
them 11
themselves 1
then 4
they 15
this 4
threatened 1
three 2
threehour 1
tied 1
time 3
title 2
to 75
together 1
tomahawks 1
too 1
torture 1
towards 2
trail 1
trailing 1
traveling 1
treacherous 1
tribe 3
turtle 1
two 4
ultimately 1
unable 1
uncas 23
uncus 1
undiscovered 1
up 1
upon 4
upstate 1
use 1
uses 1
venerable 1
village 20
vow 2
war 1
warning 1
warrior 1
warriors 3
was 2
watchful 1
water 1
way 2
weapon 1
webb 2
went 1
were 1
when 3
where 6
which 4
while 5
whipped 1
whiskey 1
white 3
who 10
why 1
wife 3
will 4
william 5
wish 1
wishes 1
with 20
withdraw 1
without 1
woman 1
women 2
wounded 1
wounding 1
wrapping 1
yet 1
york 1
