20113500
/m/04y8rn7
/m/04y8rn7
Enid Blyton
1960
a 3
ability 1
americans 1
an 1
ancient 1
and 5
angry 1
anne 1
are 2
arrogant 1
by 3
called 1
castle 1
children 1
dick 1
discover 1
family 1
farm 1
finniston 1
five 1
george 1
grandfather 1
harries 1
harriet 1
held 1
helped 1
henning 1
henry 1
his 1
in 2
julian 1
junior 1
known 1
medieval 1
mr 1
mystery 1
novel 1
of 3
one 1
rich 1
rude 1
ruins 1
solve 1
son 1
speak 1
spoilt 1
sword 1
the 2
their 1
they 3
this 2
threatens 1
timmy 1
to 1
twins 1
two 2
unison 1
up 1
visit 1
where 1
which 1
whilst 1
who 1
with 1
