26208152
/m/0b73mfw
/m/0b73mfw
Sharon Penman
2002
1156 1
1171 1
15 1
a 2
about 1
advisor 1
alive 1
although 1
and 13
aquitaine 2
archbishop 1
as 1
becket 4
becomes 1
between 2
brings 1
canterbury 1
chance 2
children 1
christ 1
close 1
death 1
decision 1
discord 1
during 1
duty 2
eight 2
eleanor 4
elevate 1
estranged 1
for 2
friend 1
from 3
fulcrum 1
god 1
have 1
henry 7
his 6
ii 5
increasingly 1
is 3
king 4
leads 1
martyrdom 1
moreover 1
must 1
of 3
penman 2
period 2
reader 1
reconcile 1
reign 1
rift 1
saints 1
sequel 1
slept 1
sovereign 1
spans 1
stains 1
the 6
thomas 2
time 2
to 7
ultimately 1
when 1
which 1
wife 1
year 1
years 1
