1496284
/m/055xz7
/m/055xz7
Robert McCloskey

a 10
able 1
about 1
admire 1
after 2
again 2
agree 1
all 1
along 2
an 1
and 16
are 2
as 6
ashore 1
at 2
avoid 1
be 1
beacon 2
begins 1
being 2
bicycles 1
bicyclist 1
bird 1
boat 3
born 1
boston 1
breakfast 1
build 1
but 1
by 2
calls 1
car 1
cars 1
charles 2
compliment 1
continue 1
cross 3
crossing 2
dangers 1
day 2
decide 1
decides 2
diving 1
down 2
drive 1
ducklings 5
ducks 4
each 2
eastern 1
eight 2
embankment 1
end 1
enter 1
ever 1
every 1
extension 1
falls 1
family 7
fed 1
feeds 1
finally 2
finds 1
fly 2
flying 1
food 1
for 7
four 1
from 3
garden 8
go 1
grew 1
happily 1
has 1
hatches 1
have 1
head 1
headquarters 1
her 1
highway 2
hill 1
hopes 1
house 1
however 1
in 9
instructs 1
intersection 1
is 4
island 3
it 2
jack 1
just 1
kack 1
know 1
lack 1
lagoon 1
land 1
landmarks 1
later 1
leads 1
like 1
little 1
lives 1
location 1
locations 1
louisburg 1
mack 1
make 1
mallard 10
mallards 8
marching 1
massachusetts 1
meantime 1
meet 1
michael 3
mistake 1
molt 1
morning 1
mount 1
mr 5
mrs 7
must 1
nack 1
named 2
nearly 1
need 1
nest 1
new 1
night 2
not 2
objects 1
of 6
on 4
one 2
other 1
ouack 1
over 2
pack 1
passes 1
passing 1
peanuts 4
people 2
police 2
policeman 3
potential 1
proceed 1
public 4
quack 1
reach 1
real 1
rest 2
river 2
road 1
route 1
run 1
says 1
search 2
searching 1
second 1
see 1
selects 1
send 1
she 3
shore 1
shortly 1
sleep 1
something 1
south 1
spend 1
square 1
standing 1
start 1
state 1
stay 1
sticking 1
stop 1
stopping 1
stops 1
storrow 1
story 1
straight 1
street 3
streets 1
such 3
suggests 1
swan 2
swim 1
swimming 1
take 1
teaches 1
that 2
the 49
their 5
them 3
then 1
there 1
thereafter 1
they 5
this 2
thrown 1
time 1
tired 1
to 22
together 1
traffic 3
trip 1
trouble 1
until 1
up 1
various 1
vernon 1
visit 1
waiting 1
way 1
week 2
what 1
wheeled 1
when 2
where 1
who 2
will 1
wings 1
with 1
would 1
wrong 1
yield 1
