3603761
/m/09pb8r
/m/09pb8r
Elizabeth Massie
1999-10
a 2
all 3
and 5
appears 1
are 1
as 2
at 1
attracted 1
basically 1
before 1
blithering 1
brainwash 1
buffy 2
calli 2
create 1
crowd 1
daughters 1
days 1
dead 1
detests 1
even 1
family 1
females 1
for 1
gets 1
girls 1
go 1
group 2
guys 3
have 1
her 1
high 1
huge 1
idiots 1
in 1
into 2
is 1
knows 1
living 1
mo 1
moon 1
moons 2
mother 1
of 1
polly 2
power 1
pulled 1
resolves 1
school 1
several 1
something 1
soon 1
start 1
stop 1
sunnydale 2
that 2
the 8
they 1
to 3
trying 1
turn 1
turning 1
two 1
up 1
when 1
willow 1
within 1
womyn 1
wrong 1
