5474467
/m/0dnh1c
/m/0dnh1c
Gregory Maguire
2001-10-02
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
about 1
along 1
although 1
american 1
an 1
ancestor 1
and 5
apartment 3
are 1
around 1
arrives 1
being 1
between 1
by 3
chase 1
chimney 1
choices 1
comestor 1
coming 1
common 1
cousin 4
deep 1
discovers 1
distant 1
down 1
ebenezer 1
examine 1
exists 1
face 1
for 1
forced 1
from 1
ghost 2
ghosts 1
has 1
haunted 2
her 5
his 1
in 1
inspiration 1
is 5
it 1
jack 1
john 1
london 1
man 1
motivations 1
mystery 2
new 1
novel 2
now 1
of 4
once 1
own 1
owned 1
past 1
plot 1
presence 1
renovated 1
research 1
revealed 1
revolves 1
ripper 1
rudge 1
scrooge 1
seems 1
she 2
solve 1
sounds 1
strange 1
supernatural 1
supposedly 1
that 2
the 11
theirs 1
to 6
travels 1
trying 2
vanished 1
visit 1
was 1
way 1
when 1
while 1
who 2
winifred 2
winifried 2
woman 1
writer 1
