351047
/m/01z8s8
/m/01z8s8
Christopher Hitchens
1995
{"/m/017fp": "Biography"}
125 1
150 1
17000 1
181 1
250 1
34mr 1
a 8
accept 1
account 1
addition 1
after 1
against 1
aims 1
allow 1
also 1
and 15
angeles 1
anyone 1
apply 1
are 1
argues 2
as 3
ask 1
asked 1
assuage 1
attorney 1
audit34 1
bankers 1
be 1
beautiful 1
been 3
behalf 1
being 2
bennett 1
billions 1
book 1
business 1
by 8
can 1
case 1
catholic 1
charity 3
charles 3
christ 1
church 2
citing 2
claims 1
clinton 1
conclusion 1
condemns 1
conference 1
conscience 2
consider 1
contact 2
contents 1
contributions 1
convents 1
convicted 1
corrupt 1
countries 1
credibility 1
crime 1
criminal 1
cult 2
defrauding 1
deputy 1
desires 1
details 1
developed 1
dictator 1
dictators 1
direct 1
disgraced 1
district 1
do 9
does 1
dollars 1
donated 1
donors 1
duvalier 2
earned 1
ease 1
end 1
ends 1
endure 1
enigmatic 1
establishing 1
examples 1
executive 1
expected 1
exploited 1
expresses 1
fact 1
figure 1
financial 2
for 8
former 1
fraud 1
friend 1
from 1
fruits 1
further 1
furthered 1
gain 1
generously 1
gifts 1
given 2
guilt 1
had 2
haitian 1
has 3
have 1
having 1
he 8
heart 1
help 2
helped 1
her 2
hillary 1
him 1
his 7
hitchens 5
hospital 1
i 4
if 4
immune 1
in 9
includes 2
including 1
individuals 1
indulgence 1
intention 1
into 1
investors 2
is 2
it 6
ito 2
its 3
itself 1
jeanclaude 1
jesus 5
johnroger 1
judge 3
keating 8
keep 1
lance 1
letter 6
look 1
los 1
lot 2
man 1
me 1
measures 1
michle 2
million 2
missing 1
missionaries 2
money 4
more 1
mother 7
mr 2
much 1
need 1
no 5
nor 1
not 4
notes 1
now 1
of 17
on 3
open 1
opinion 1
opposed 1
organization 2
out 1
over 2
own 2
owners 2
particularly 1
passion 1
paul 1
people 2
permit 1
personality 1
pointed 1
political 1
politicians 1
poor 4
portrays 1
possession 2
poverty 2
presiding 1
press 1
promoted 1
promptly 1
property 2
prosecuting 1
proved 1
put 1
quasireligious 1
raise 1
rather 1
received 1
relationships 1
replied 1
reply 1
reproduction 1
return 2
rightful 2
rodham 1
saints 1
salve 1
same 1
seems 1
share 1
she 6
should 2
status 1
stealing 2
stolen 2
structural 1
submit 1
suffering 2
suggested 1
suggests 1
teach 1
teaching 1
teresa 8
than 2
that 14
the 34
their 3
theological 1
thief 1
think 2
those 3
to 20
tool 1
toward 1
trial 2
turley 4
unhesitatingly 1
urged 1
used 3
very 1
was 7
wealthy 1
were 3
what 4
which 4
who 2
wife 1
will 1
with 3
women 1
words 1
worked 1
world 1
would 7
written 2
you 5
your 1
yourself 1
