12105021
/m/02vp_sf
/m/02vp_sf
Anchee Min

{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
1875 1
214 1
a 5
actions 1
adopted 1
adopts 1
after 3
also 3
alute 11
an 1
and 11
announces 1
annoyance 1
annoyed 1
antehai 1
appointment 1
are 1
around 1
articles 1
as 10
at 4
attitude 1
away 1
beauty 1
becomes 1
been 1
begin 1
beginning 1
begins 3
being 1
believes 2
beside 1
between 3
bond 1
by 1
called 1
cateyed 1
character 1
chih 4
child 1
china 4
chosen 2
claims 1
close 1
collapsed 1
completed 1
contributed 1
cooperation 1
court 1
cruel 1
daughter 1
death 6
decline 1
describing 1
despair 1
dies 3
disturbed 1
dragon 1
due 2
effect 1
eighteenyearold 1
emotional 1
empress 9
ending 1
english 1
eunuch 1
event 1
eventually 1
everyone 1
experience 1
false 1
faraway 1
felt 1
first 1
followed 1
foocha 1
for 5
foreign 1
forms 1
friend 1
from 1
full 1
further 2
give 1
glamour 1
glory 1
governor 1
great 1
guanghsu 2
had 2
hand 1
happiness 1
has 2
hatred 1
have 1
he 2
health 1
her 11
higher 1
him 3
his 4
however 2
i 1
illness 2
impact 1
imperial 2
in 2
information 1
initially 1
invasions 1
irritated 1
is 9
it 1
journals 1
justify 1
lack 1
later 1
little 1
longer 1
love 2
lu 1
many 1
marry 1
matters 1
may 1
mentally 1
mother 2
motherly 1
motherson 1
mount 1
move 1
much 1
named 1
nephew 2
no 3
nuharoo 3
of 15
on 2
one 1
only 4
orchid 18
planning 1
political 1
portraying 1
possibilities 1
power 1
preferred 1
pregnant 1
prevent 1
printing 1
protagonist 1
provincial 1
published 1
rank 1
realises 2
receives 1
refuses 1
regime 1
renames 1
rendering 1
reports 2
responsible 1
role 1
rong 2
rude 1
ruler 1
rumours 1
seemingly 1
sees 1
selection 3
she 7
shortly 1
sinkiang 1
sister 1
solely 1
son 3
soon 3
stories 1
story 1
succession 1
successor 1
such 1
suggest 1
suggesting 1
suspicious 1
tension 1
that 10
the 19
then 1
these 1
this 1
throne 1
thus 1
to 13
towards 1
tsaitien 1
tung 4
turns 1
two 1
unsuitable 1
up 1
upon 1
violent 1
was 3
weaken 1
well 1
when 1
whilst 1
who 1
wife 1
with 5
worsens 1
year 1
yet 1
yung 1
