17507285
/m/0462jyk
/m/0462jyk
Jodi Picoult
1991
15 1
25 2
35 1
a 8
able 1
about 1
abusive 1
across 1
actions 1
affair 1
afraid 1
after 1
agrees 1
almost 1
along 1
an 3
and 14
apple 1
are 2
argument 1
arrives 1
as 2
away 2
back 1
because 1
been 1
begin 1
begins 1
being 2
between 1
biologist 1
bringing 1
brother 2
but 1
by 2
calls 1
chase 1
choice 1
confronted 2
consequences 1
controversial 1
country 1
culminated 1
daughter 1
death 1
develops 1
diego 1
discovered 1
down 1
emotionally 1
employs 1
eventually 1
falls 1
farm 1
for 1
friend 1
from 3
guides 1
hadley 6
has 3
have 1
he 3
her 3
his 3
history 1
home 1
house 1
however 1
in 2
intention 1
is 10
jane 9
joley 2
jones 2
letters 1
living 1
lodges 1
marine 1
married 1
massachusetts 1
morning 1
mother 1
mountain 2
named 1
night 1
no 1
of 6
oliver 7
on 2
one 1
orchard 3
outside 1
owned 1
park 1
pathologist 1
persuades 1
pneumonia 1
ranger 1
rebecca 9
relationship 1
reluctantly 1
return 1
returns 1
reunited 1
runs 1
sam 6
san 1
separated 1
series 1
sick 1
slapping 1
soon 1
speech 1
spending 1
staying 1
teenage 1
that 1
the 8
them 2
there 1
they 3
this 1
through 1
to 9
together 1
top 1
track 1
tracking 1
twenty 1
unavailable 1
until 1
well 1
where 1
while 1
who 2
with 5
working 1
worldrenowned 1
worried 1
years 1
