7111340
/m/0h4qdc
/m/0h4qdc
Mary Renault
1966
a 4
actor 1
actors 1
alexander 2
along 1
an 1
and 7
apply 1
are 1
at 1
athens 1
attempts 1
authentic 1
author 1
been 1
befriends 1
between 1
book 1
bring 1
but 2
casting 1
city 1
citystate 1
classic 1
conveying 1
decisions 1
democracy 1
describing 1
detailed 1
devices 1
dion 2
dionysius 1
dire 1
documents 1
effects 1
encounters 1
end 1
entrusts 1
especially 1
evokes 1
gossip 1
government 1
great 1
greater 1
greek 1
have 2
heir 1
hephaistion 1
him 1
his 1
ideal 1
ideals 1
in 3
ineptly 1
instead 1
involved 2
is 2
laments 1
lover 1
mechanical 1
might 2
moderate 1
music 1
never 1
nikeratos 3
of 9
performance 1
plato 2
platos 1
politician 1
powerful 1
practice 1
principal 1
production 1
professional 1
pursued 1
recreations 1
republic 1
results 1
roles 1
scenery 1
sensitive 1
sharing 1
social 1
special 1
stability 1
staging 1
success 1
successful 1
syracuse 1
technologies 1
that 1
the 18
theatrical 1
theories 1
there 2
these 1
three 1
time 1
to 4
traditions 1
tragedy 1
transitional 1
trying 1
tutored 1
tyrant 1
unstable 1
various 1
vividly 1
what 1
who 2
with 4
young 2
younger 1
