9186044
/m/05z2wk9
/m/05z2wk9
Werner Holzwarth

a 2
all 1
an 1
and 3
animal 1
animals 1
assistance 1
belong 2
butcher 1
by 2
certain 1
discover 1
does 1
doesnt 1
dog 2
exacts 1
finally 1
flies 1
from 1
gets 1
getting 1
happily 1
he 2
head 2
help 1
him 2
his 4
hole 2
identify 1
into 1
is 2
it 2
just 1
like 1
looks 1
mission 1
mole 3
of 1
on 3
out 2
poop 1
pooped 1
pooping 1
receives 1
returns 1
revenge 1
runs 1
sets 1
show 1
some 2
that 1
the 5
theirs 1
to 5
unidentified 1
what 1
who 2
whodunit 1
whom 1
