12316278
/m/02v_1sp
/m/02v_1sp
Margaret Weis

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 20
able 2
about 3
aesthethic 1
after 1
agree 1
agrees 1
alhana 1
alley 1
allies 1
allow 1
alluded 1
along 1
also 4
ambushes 1
an 2
and 35
anything 2
aran 3
are 5
ariakas 5
army 3
arrival 1
arrive 1
as 3
ask 1
at 1
attack 3
attacked 1
attacks 2
attempting 2
axe 1
back 1
battle 2
battles 1
be 4
beautiful 2
become 1
becomes 1
before 3
begin 1
behind 1
being 3
believes 1
between 2
binds 1
bitter 1
book 1
brian 4
briefly 1
brightblade 2
broken 1
burrfoot 2
but 4
by 7
can 3
caramon 2
care 1
castle 7
city 5
command 2
companions 9
company 1
complete 1
confirms 2
confront 2
connection 1
consisting 1
consumed 1
control 1
convinces 1
corrupt 1
courage 1
crowngaurd 1
crownguard 2
dangerously 1
dark 2
death 4
decides 1
decipher 1
defeated 1
defeating 1
defeats 1
derek 8
described 1
detail 1
detailed 1
details 1
devises 2
directs 1
discussed 1
disguised 1
dismisses 1
do 2
does 2
donner 1
draconian 1
drag 1
dragon 14
dragonarmy 2
dragonlance 1
dragons 3
dragonwars 1
dreams 1
driven 1
due 1
easy 1
elf 1
elfmaid 1
elistan 4
elven 2
elvish 1
emperor 2
especially 1
even 1
expects 1
fall 1
falling 1
falls 1
family 1
fealthas 9
fears 1
feeling 1
fellow 1
ferociously 1
fights 1
finally 1
find 2
fireforge 1
first 2
flint 1
for 3
forces 2
formed 1
former 4
found 1
frees 1
friends 1
from 3
frost 2
frozen 1
gain 1
gilthanasand 1
girlfriend 1
give 1
gives 1
goddess 1
goldmoon 1
good 1
group 1
guardian 1
guardians 2
guilty 1
halfbrothers 1
halfelven 2
has 2
haven 1
he 1
help 5
helps 1
her 14
highlord 4
him 1
his 7
homeland 1
horrible 1
ice 1
icefolk 3
icewall 6
if 1
impressed 1
imprisoned 1
in 17
incredibly 1
information 1
insists 2
into 1
invasion 1
investigate 1
investigated 1
involved 1
involvement 1
iolanthe 2
is 15
it 1
jealousy 1
join 2
journeys 1
just 1
kender 1
kept 1
kill 1
kingdom 1
kitiara 23
knight 3
knights 9
know 1
knowledge 1
latter 1
laurana 13
learned 1
learns 1
let 1
life 1
lilith 1
little 1
live 1
located 1
location 1
lord 5
love 1
lover 2
made 1
magic 2
main 1
majere 1
makes 2
many 1
matar 1
may 1
meanwhile 2
meet 1
more 2
much 1
named 2
natives 1
nearby 1
night 4
not 2
observing 1
obsessed 1
of 34
off 2
one 1
only 4
or 1
orb 6
orbs 2
orders 1
other 1
out 2
over 1
overheard 1
pampered 1
part 1
plan 2
possible 2
power 1
powergrab 1
powerhungry 1
prays 1
princess 3
promise 1
promises 1
protection 1
quickly 1
raistlin 2
reason 1
reaver 2
red 1
regarding 1
remaining 1
resist 1
rest 3
return 1
rival 2
rivalry 2
riverwind 1
role 1
sanction 1
scrying 1
seaport 1
secretly 1
seek 2
sends 1
serve 1
service 1
sets 1
she 9
silvanesti 1
sivak 1
slay 1
sleeps 1
slith 2
so 2
solamnia 1
soth 7
spared 1
spend 1
split 1
spreads 1
stands 1
starbreeze 1
stronghold 1
struggle 1
sturm 6
subdue 1
successfully 1
surprise 1
suspicion 1
sympathize 1
taken 1
takhisis 4
taking 1
tallbow 1
tanis 3
tarsis 5
tasslehoff 2
tempt 1
testimony 1
that 7
the 70
their 4
them 2
then 4
there 2
they 1
this 1
though 1
tika 1
time 2
to 39
tormented 1
travel 1
traveling 1
travels 3
trials 1
triumph 1
ultimately 1
unable 1
unconscious 1
under 2
up 2
upcoming 1
use 1
used 1
uses 1
uth 1
verminaard 3
via 1
victory 1
was 1
way 1
waylan 1
were 2
when 2
which 3
while 1
white 1
who 3
will 2
winter 3
with 13
wizard 1
wolves 1
would 1
