10481847
/m/02qffny
/m/02qffny
Yasunari Kawabata
1961
a 4
actions 1
all 1
an 1
and 3
anything 1
are 3
attempting 1
bad 1
be 1
beauties 1
because 1
bed 1
been 1
besides 2
compels 1
comply 1
descriptions 1
different 2
discovers 1
dreams 1
each 2
eguchi 1
establishment 1
expected 1
finger 1
for 1
girl 3
girls 3
had 1
happen 1
has 1
he 3
him 1
his 2
house 3
inside 1
is 3
like 1
men 2
mixed 1
mouths 1
naked 1
narcotized 1
night 1
notice 1
of 4
old 2
pay 1
pills 1
presented 1
putting 1
rules 1
share 1
short 1
sleep 1
sleeping 3
somehow 1
take 1
taste 1
that 3
the 10
their 1
time 1
titular 1
to 4
virgins 1
visits 2
where 1
which 1
whole 1
with 4
without 1
young 1
