1993650
/m/06cjt_
/m/06cjt_
Alice Sebold
1999-08-04
a 5
accompanied 1
action 1
after 2
again 1
also 1
among 2
and 5
any 1
apartment 1
apprehended 1
arrested 1
as 1
assailant 1
at 5
became 1
been 1
before 2
beginning 1
being 1
broken 1
brought 1
but 1
by 1
called 1
campus 1
carruth 1
carver 1
case 1
confidantes 1
confuse 1
connection 1
continuing 1
convicted 1
correctly 1
crime 1
decided 1
down 1
during 1
ever 1
failed 1
family 1
felt 1
finally 1
finishing 1
for 3
freshman 1
friend 1
from 1
further 1
gallagher 2
had 2
hayden 1
he 5
her 14
him 2
home 2
identify 1
in 2
intimidate 1
into 1
it 1
knew 1
leads 1
legal 2
lineup 2
live 1
location 1
locked 1
looked 2
lucky 1
months 1
murdered 1
no 2
not 1
of 2
off 1
offcampus 1
on 1
once 1
one 1
order 1
park 1
pennsylvania 1
photo 1
police 3
presumably 1
proceedings 1
professors 2
proven 1
pursue 1
rape 2
raped 2
rapist 2
ray 1
remarked 2
reported 1
retaliation 1
returned 1
roommate 2
same 1
sebold 9
several 1
she 5
sidewalk 1
similar 1
smirked 1
somewhere 1
sophomore 1
spotted 1
summer 1
syracuse 2
tess 1
that 3
the 8
they 1
though 1
through 1
thus 1
time 1
to 8
tobias 1
told 1
tried 1
ultimately 1
university 1
up 1
very 1
walking 2
was 10
were 1
when 1
while 2
who 4
with 2
wolff 1
woman 1
year 2
young 1
